fund,service,access_point,scope_items,tariff_pairs,block_tariff,rules_items,rules_block,mapping_type,tariff_raw,access_rules_raw
SOCIAL HEALTH INSUR ANCE FUND,OUTPAT IENT CARE SERV ICES,,"['Manage ment of acute and chronic condit ions for endemic / local cases', 'Manage ment ofNCDs, enteric infect ions; negle cted trop ical dise ases ( NTDs ), STI ’ sand HIV / AIDS', 'Scree ning for common health condit ions', 'Minor surg ical proce dure sand medical proced ures', 'Immu niza tion asper the KEPI sche dule and recomme nded special vacc ines', 'Repr oduc tive, Mate rnal and Child Health Serv ices as defined by the MOH guide lines']",[],,"[[], [], [], [], [], []]",[],block,will be offered at no cost to the patient.,
SOCIAL HEALTH INSUR ANCE FUND,MEDICAL INPAT IENT SERV ICES,Level 4 - 6,"['Inpat ient serv ices shall include manage ment of disease / condi tion while admi tted.', 'Pre- admis sion evalua tion', 'Hosp ital accom moda tion charges, meals and nursing care in general ward bed', 'Intra- admis sion cons ulta tion and review sbyboth general and specia list consult ants, Labora tory inve sti gations, medical imaging, proced ures, and medica tion', 'Bed side serv ices inclu ding physio therapy, occu pati onal therapy, oxygen supply, medical consuma bles, and the rape utic nutriti onal support.', 'Cross- matc hing and admini stra tion of blood and blood prod ucts; derivat ives and compon ents, artifi cial blood prod ucts, and biolog ical serum.', 'Post - disch arge medi cati onor follo w-up within the treat ment plan.']","[{'label': 'Level', 'amount': 4.0}, {'label': 'Level', 'amount': 5.0}, {'label': 'Level', 'amount': 6.0}]",3.0,"[[], [], [], [], [], [], []]","['Limit: Up to 50 days per House hold', 'Days above that charged to ECCIF']",itemized,"➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem",➢ Limit: Up to 50 days per House hold ➢ Days above that charged to ECCIF
SOCIAL HEALTH INSUR ANCE FUND,"MATER NITY, NEON ATAL AND CHILD HEALTH SERV ICES",Level 4 - 6,"['Deli very by ways of normal deli very, assi sted deli very and caesa rean section as nece ssit ated.', 'After care for the mother toge ther with the newborn.', 'Midwi fery, inclu ding episio tomy care and nursing care.', 'Opera ting, reco very, mater nity ward and other treat ment room charges inclu ding meals and special diets.', 'Immu niza tion for the newborn.', 'Intra- admis sion and post- disch arge medica tion.', 'Diagno stic labora tory tests.', 'Admi nist rati onof blood and blood prod ucts; derivat ives and compon ents, artifi cial blood prod ucts, and biolog ical serum.', 'Medical supp lies and equip ment, inclu ding oxygen.', 'Post natal family plan ning.', 'Manage ment ofpo stpa rtum infect ions and haemorr hage, birth traumas and condit ions related to child birth.', 'Mana geme ntof neon atal condit ions.', 'Obste tric and neon atal compl icat ions inclu ding intra- admis sion post partum / post natal infect ions and haemorr hage, birth traumas and condit ions related to child birth.']","[{'label': 'Normal Deli very and essen tial newborn care – .', 'amount': 11.0}, {'label': 'Caesa rean Section and essen tial newborn care – .', 'amount': 32.0}]",11.0,"[['Normal deli very - maximum stay of 48 hours'], [], [], [], [], [], [], [], [], [], [], [], []]","['C-sec tion - maxim umst ayof 72 hours ( inclu ding pregn ancy emergen cies such as Tranex amic acid and magne sium sulp hate )', 'SHIF mater nity serv ices willbe access edby member sand their depend ants with up-to- date member ship.', 'In case of per ipartum and post natal compl icat ions beyond 48 hours for normal delive ries and 72 hours for CS delive ries, then per diem rate takes effect. All claims in this cate gory will have to undergo surv eill ance.']",itemized,"➢ Normal Deli very and essen tial newborn care – KES. 11, 200 ➢ Caesa rean Section and essen tial newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal deli very - maximum stay of 48 hours ➢ C-section -maxim umst ayof 72 hours ( including pregnancy emergen cies such as Tranex amic acid and magne sium sulp hate ) ➢ SHIF maternity services willbe accessedby member sand their dependants with up-to- date member ship. ➢ In case of per ipartum and post natal compl icat ions beyond 48 hours for normal delive ries and 72 hours for CS delive ries, then per diem rate takes effect. All claims in this cate gory will have to undergo surv eill ance."
SOCIAL HEALTH INSUR ANCE FUND,RENAL CARE PACKAGE,Level 4 - 6,"['The manage ment of kidney failure due tochro nicd isea seor acute inju ries / dise ases through dial ysis inclu ding:', ""Cons ulta tion and special ist's review."", 'Cost ofthe tempo rary cath eter and inser tion / removal.', 'Nursing care and dial ysis serv ices.', 'Routine labora tory inve sti gations.', 'Dispen sati onof medica tion and mainten ance drug, counsel ling and follo w-up.', 'Contin uous inte rmit tent dial ysis and other dial ysis proto cols.']","[{'label': 'Hemo dialysis & Hemod iafi ltra tion .', 'amount': 10.0}, {'label': 'Per itoneal dial ysis – .', 'amount': 180.0}]",10.0,"[[], [], [], ['Access ible inLe velI V-VI facili ties with dial ysis centres and access to an ambul ance and ICU serv ices within 10 km radius.'], [], [], []]","['Maximum of 3 sess ions per week for haemo dial ysis.', 'Maximum of 2 sess ions per week for hemod iafi ltra tion.', 'Maximum of 12 sess ions annu ally for per itoneal dial ysis.', 'Paym ents will be made from the SHIF and ECCIF Funds.']",itemized,"➢ Hemo dialysis & Hemod iafi ltra tion KES. 10, 650 per session ➢ Per itoneal dial ysis – KES. 180, 000 per month ➢ PPM: Case Based",➢ Maximum of 3 sess ions per week for haemo dialysis. ➢ Maximum of 2 sess ions per week for hemod iafi ltra tion. ➢ Maximum of 12 sess ions annu ally for per itoneal dial ysis. ➢ Paym ents will be made from the SHIF and ECCIF Funds. ➢ Accessible inLevelI V-VI facilities with dial ysis centres and access to an ambul ance and ICU serv ices within 10 km radius.
SOCIAL HEALTH INSUR ANCE FUND,MENTAL WELLL NESS BENEFIT PACKAGE,Level 3 - 6,"['The mental health serv ices cover caters for;', 'Mental Health educa tion and counsel ling.', 'Scree ning, manage ment and refe rral for behavi oral disor ders, neuro- develop mental disor ders, affec tive and psyc hoac tive disor ders.', 'Rehabi lita tion for subst ance related addic tive disor ders.']","[{'label': '.', 'amount': 1.0}, {'label': 'Level', 'amount': 4.0}, {'label': 'Level', 'amount': 5.0}, {'label': 'Level', 'amount': 6.0}, {'label': 'Detoxi fica tion – .', 'amount': 14.0}, {'label': 'Rehabi lita tion – .', 'amount': 125.0}]",1.0,"[['Mental illness serv ices will be asse ssed through the SHIF and ECCI funds.'], [], ['Diagn osis and mana geme ntof behavi oral disor ders ( inpat ient ) shall have limit of up to 35 days.'], ['Admis sion sfor rehabi lita tion for drugs and subst ance abuse shall be pre- author ized.']]","['Max. 7 outpat ient visits', 'Toac cess the bene fits, individ uals must be paid-up SHA members', 'For benef icia ries whodo not comp lete the three-s tage program, or attain minimum stay of 45 days, SHA shall reimb urse KES 1, 000 for every day of admis sion up to maximum of 10 days.']",itemized,"Outpat ient Serv ices ➢ KES. 1, 200 per visit ➢ PPM: Fee for service – Fixed rate Inpat ient Serv ices ➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem Rehabi lita tion for DSA ➢ Detoxi fica tion – KES. 14, 000 ➢ Rehabi lita tion – KES. 125, 000 ➢ PPM: Case based","➢ Max. 7 outpat ient visits ➢ Toac cess the benefits, individ uals must be paid-up SHA members ➢ Mental illness serv ices will be asse ssed through the SHIF and ECCI funds. ➢ Diagnosis and manageme ntof behavi oral disor ders ( inpat ient ) shall have limit of up to 35 days. ➢ Admission sfor rehabilitation for drugs and subst ance abuse shall be pre- authorized. ➢ For beneficiaries whodo not comp lete the three-s tage program, or attain minimum stay of 45 days, SHA shall reimb urse KES 1, 000 for every day of admis sion up to maximum of 10 days."
SOCIAL HEALTH INSUR ANCE FUND,SURG ICAL SERV ICES PACKAGE,"➢ Level 3 - 6 ➢ Selec tive procurement for Cardio logy, Cardio thor acic and vasc ular, Urology, and Transp lant surge ries","['The Surg ical Package covers the below list of surg ical and non- surg ical proced ures:', 'Pre- opera tive admis sion and care.', 'Minor, major and special ized surg ical proced ures inclu ding organ transpl ants and impl ants.', 'Admini stra tion of blood and blood prod ucts; derivat ives and']",[],,"[['Minor surg ical proced ures per formed at Level 2 & 3 facili ties will be funded from the PHC fund.'], [], [], []]","['Emerg ency surg ical proc edur esto stabi lize trauma andpoly trauma pati ents with head, cardiac, pulmo nary, and crit ical limb inju ries within 24 hours will be covered under']",block,PPM: Fee for Service – Fixed rate Sche dule of tariffs annexed.,"➢ Minor surg ical proced ures per formed at Level 2 & 3 facili ties will be funded from the PHC fund. ➢ Emergency surgical procedur esto stabilize trauma andpoly trauma patients with head, cardiac, pulmo nary, and crit ical limb inju ries within 24 hours will be covered under"
SOCIAL HEALTH INSUR ANCE FUND,SURG ICAL SERV ICES PACKAGE,"the Acci dent and Emerg ency Package in the ECCIF fund. ➢ Pallia tive surgery shall be paid under ECCIF. ➢ Major and specialized surgical proced ures will be prov ided at Level 4 - 6 facili ties with at least 2 opera ting the atres. ➢ Procure ment of elig ible minor, major and special ized proced ures from single speci alty provi ders. ➢ Access to spec ific major and special ized proced ures will be limited to facili ties with appropr iate insta lled equip ment, affili ated surg ical and anesth esia per sonnel. ➢ Co-pay ment allowed for laser and lapa rosc opic surge ries.","['compon ents, artifi cial blood prod ucts, and biolog ical serum.', 'Manage ment of intra opera tive compl icat ions and compl icat ions follo wing the surg ical proce dure.', 'All additi onal medical or surg ical service requ ired during the post opera tive period because of compl icat ions that do not require additi onal trips to the opera ting room.', 'Post opera tive visits - follo w-up visits during the post opera tive period that are related to reco very.', 'Post - proce dure pain manage ment.', 'Post - opera tive ward physio therapy.', 'Supp lies - except for those identi fied as exclus ions.', 'Misce llan eous serv ices - items such as dres sing changes; local incisi onal care; removal of the opera tive pack; removal of cutan eous sutures and staples, lines, wires, tubes, drains, casts, and splints; inser tion, irriga tion and removal of urinary cathe ters, routine per ipheral intrave nous lines, nasogas tric and rectal tubes; and changes and removal of trac heos tomy tubes.', 'Crit ical care serv ices related to the surg ical proce dure but within the same case defini tion.', 'Diagno stic tests and proce dure, inclu ding diagno stic radi olog ical proced ures related to the surgery.', 'Immun osup pres sive therapy for organ transpl ants.']",[],,"[[], [], [], [], [], [], [], [], [], [], []]",[],block,,
SOCIAL HEALTH INSUR ANCE FUND,ONCO LOGY SERV ICES,Level 4 - 6,"['Onco logy serv ices shall entail scree ning and treatme ntof cancers inclu ding breast, pros tate, colo rectal, cerv ical cancer, and child hood cancers.', 'Admini stra tion of Chemo therapy, Radio therapy, Brachy therapy and Radio surgery', 'Consuma bles, stoma applia nces, premeds, and post meds', 'Chemo therapy pump', 'Routine and special ized labora tory inve sti gations', 'Scree ning, cross- matc hing and admini stra tion of blood and blood prod ucts; derivat ives and compon ents, artifi cial blood prod ucts, and biolog ical serum', 'Treat ment plan ning', 'Radioio dine therapy', 'Radi olog ical serv ices where neces sary as part of oncolog ical treat ment plan ning', 'Manage ment through surg ical inter vent ions', 'Manage ment of pre- cancer condit ions']","[{'label': 'Chemo administration – .', 'amount': 5.0}, {'label': 'PET Scan – .', 'amount': 53.0}, {'label': 'PSMA PET Scan – .', 'amount': 64.0}, {'label': 'CT-Scan – .', 'amount': 9.0}, {'label': 'MRI – .', 'amount': 11.0}, {'label': 'Bone scan – .', 'amount': 15.0}, {'label': 'Radi onuc lide scan – .', 'amount': 11.0}, {'label': 'Brachy therapy – up to .', 'amount': 40.0}, {'label': 'SBRT / SBRS – up to .', 'amount': 70.0}, {'label': 'Radio therapy – up to .', 'amount': 3.0}]",5.0,"[[], [], [], [], [], [], ['1 st Line treat ment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF', '2 nd Line treat ment – KES. 650, 000 from ECCIF'], [], [], [], []]","['Diagn osis & staging - Limit of KES. 100, 000']",itemized,"➢ Chemo administration – KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radi onuc lide scan – KES. 11, 000 ➢ Brachy therapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radio therapy – up to KES. 3, 600 per session","➢ Diagn osis & staging - Limit of KES. 100, 000 ➢ 1 st Line treat ment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢ 2 nd Line treat ment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSUR ANCE FUND,MEDICAL IMAGING AND OTHER INVE STI GATIONS PACKAGE,"➢ All facilities with required imaging serv ices. ➢ Fluoros copy, Mammogr aphy, Echo cardiog rams, Electroen ceph alog rams ( EEG ), and special ized ultraso unds ( dopp lers ) to be purch ased from GOK Level IV-V hospi tals.","['Covers Prescri bed special ized imaging serv ices inclu ding.', 'MRI', 'CT scans', 'CT Angio', 'Fluoros copy', 'Mammogr aphy', 'Special ized ultraso unds ( Dopp lers )', 'Echo cardiog rams ( ECHO )', 'Elect roen ceph alog rams ( EEGs ) and', 'Review ingand inte rpre ting radi olog ical images giving the diagno stic opinion and provi ding the referri ngph ysic ianw itha deta iled report ofthe imaging find ings for treat ment plan ning.']","[{'label': 'MRI –', 'amount': 11.0}, {'label': 'CT scans –', 'amount': 9.0}, {'label': 'CT Angio –', 'amount': 8.0}, {'label': 'Fluoros copy –', 'amount': 4.0}, {'label': 'Mammogr aphy –', 'amount': 3.0}, {'label': 'Special ized ultrasounds ( Dopp lers ) –', 'amount': 5.0}, {'label': 'Echo cardiog rams ( ECHO ) –', 'amount': 3.0}, {'label': 'Electroen ceph alog rams ( EEGs ) –', 'amount': 5.0}]",11.0,"[[], [], ['CT scans and CT Angio – 2 images per house hold.'], [], [], [], [], [], [], []]","['MRI at 2 images per HH - limited to Infec tive, onco logy, neur olog ical, dege nera tive condit ions, spec ific obste tric condit ions, cardiac / CVA- related cases and trauma cases.', 'CTsc ans- limit edto Infec tive, onco logy, neur olog ical, dege nera tive condit ions, spec ific obste tric condit ions, cardiac / CVA- related cases and trauma cases.', 'Fluor osco pyat 2 per house hold: Contin uous x-rays used for guiding angio graphic and interv enti onal proced ures, in cont rast, exam inat ions of the GI tract, and in the OR for certain surg ical proced ures (.. orthop edic, Urolog ical ).', 'Mammo grap hyat 2 per house hold per year: X-ray imaging of the breasts for diagn osis of clinic ally dete cted or scree ning - dete cted abnor mali ties.', 'Special ized ultra soun dsat 2 per house hold per year: For tendon inju ries (.. rotator cuff, Achi lles tendon ), detec tion and char acte riza tion of soft tissue masses']",itemized,"➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoros copy – KES 4, 000 ➢ Mammogr aphy – KES 3, 000 ➢ Special ized ultrasounds ( Dopp lers ) – KES 5, 000 ➢ Echo cardiog rams ( ECHO ) – KES 3, 500 ➢ Electroen ceph alog rams ( EEGs ) – KES 5, 000 for child and KES 8, 000 for adult.","➢ MRI at 2 images per HH - limited to Infec tive, onco logy, neur olog ical, degenerative conditions, spec ific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CTscans- limit edto Infective, onco logy, neur olog ical, dege nera tive condit ions, specific obste tric condit ions, cardiac / CVA- related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per house hold. ➢ Fluor osco pyat 2 per household: Contin uous x-rays used for guiding angio graphic and interventional proced ures, in cont rast, exam inat ions of the GI tract, and in the OR for certain surgical procedures (.. orthop edic, Urolog ical ). ➢ Mammo grap hyat 2 per household per year: X-ray imaging of the breasts for diagn osis of clinic ally dete cted or screening -dete cted abnor mali ties. ➢ Specialized ultra soun dsat 2 per household per year: For tendon inju ries (.. rotator cuff, Achi lles tendon ), detec tion and char acte riza tion of soft tissue masses"
SOCIAL HEALTH INSUR ANCE FUND,MEDICAL IMAGING AND OTHER INVE STI GATIONS PACKAGE,,[],[],,[],"['(.. cysti cors olid ), detecti onof for eignbo dies, / S-guid edbi opsy and inject ions, Bone / joint evalua tion pre- ossi fica tion (.. DDHine arly months ), doppler for venou sand arte rial dise ases, scrotal masses, pria pism, and testic ular torsion.', 'ECHO at 2 per house hold per year: Carotid sten osis, Pulmo nary embo lism, Kawa saki disease, Hype rten sion in chil dren, Conges tive heart failure, Congen ital heart disease, Spina bifida, Acute Isch emic stroke, Infec tive end ocard itis, Hodgkin ’ lymp homa, Sickle cell disease, Acute per icard itis, Valv ular heart disease.', 'Radio logy bene fits are tobe purch ased where the servi ceis avail able and on need basis.', 'All radio logy serv ices are to be pre- author ized.']",block,,"(.. cysti cors olid ), detecti onof for eignbo dies, / S-guid edbi opsy and inject ions, Bone / joint evalua tion pre- ossi fica tion (.. DDHine arly months ), doppler for venou sand arte rial diseases, scrotal masses, pria pism, and testic ular torsion. ➢ ECHO at 2 per house hold per year: Carotid sten osis, Pulmo nary embo lism, Kawa saki disease, Hype rten sion in chil dren, Conges tive heart failure, Congen ital heart disease, Spina bifida, Acute Isch emic stroke, Infective end ocard itis, Hodgkin ’ lymp homa, Sickle cell disease, Acute per icard itis, Valv ular heart disease. ➢ Radiology benefits are tobe purchased where the serviceis avail able and on need basis. ➢ All radio logy serv ices are to be pre- author ized."
SOCIAL HEALTH INSUR ANCE FUND,PHAR MACY PACKAGE,➢ All public faci lity pharma cies ➢ All faith- based facility pharma cies ➢ Comm unit ypharma cies individu all yorthro ugha phar macy bene fits manager,"['Medic ines for select chronic condit ions:', 'Diab etes type 1 & 2,', 'Hype rten sion,', 'Asthma,', 'Chronic renal disea seon dial ysis', 'Post transp lant immuno supp ress ants', 'Chronic obstruc tive pulmo nary disease,', 'Sickle cell', 'Onco logy medic ines', 'Anti-D', 'Anti Snake Venom', 'Anti Rabies', 'Mental Health long-ac ting medic ines', 'Epil epsy SPECIAL IZED LABORA TORY SERVICE']",[],,"[[], [], [], [], [], [], [], [], [], [], [], [], [], []]","['Quart erly limit of 5, 000 per person as capt ured inthe chronic disease regi stry']",block,➢ PPM- Fee for service,"➢ Quart erly limit of 5, 000 per person as captured inthe chronic disease regi stry"
