service_name,page_reference,evidence_snippet,pricing_kes,facility_level,full_context,extraction_method,extraction_confidence,is_free_service,source_type
"➢ CT Angio – KES 8,000",12,"➢ CT Angio – KES 8,000",8000.0,," ➢ MRI – KES 11,000   ➢ CT scans – KES 9,600   ➢ CT Angio – KES 8,000   ➢ Fluoroscopy – KES 4,000   ➢ Mammography – KES ",enhanced_text_extraction,0.9,False,enhanced_text
"➢ Fluoroscopy – KES 4,000",12,"➢ Fluoroscopy – KES 4,000",4000.0,,"➢ CT scans – KES 9,600   ➢ CT Angio – KES 8,000   ➢ Fluoroscopy – KES 4,000   ➢ Mammography – KES  3,000 ",enhanced_text_extraction,0.9,False,enhanced_text
body in a mortuary  Level 4 -6 ➢ KES 500 per day,15,body in a mortuary  Level 4 -6 ➢ KES 500 per day,500.0,"[4, 6]","Scope  Access Po int Tariff  Access Rules   ➢ Preparation and storage of the  body in a mortuary  Level 4 -6 ➢ KES 500 per day   ➢ PPM: Per Diem  ➢ Limit up to 5 days   EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND  ",enhanced_text_extraction,0.9,False,enhanced_text
"fractures) – KES 13,614",15,"fractures) – KES 13,614",13614.0,,"burns, head injuries, severe  wounds, multiple  fractures) – KES 13,614  for investigations and KES  79,549 for management.  ➢ Resuscitation and stabilization  to be ",enhanced_text_extraction,0.9,False,enhanced_text
"➢ Seizures - KES 12,156 for",16,"➢ Seizures - KES 12,156 for",12156.0,,"investigations and KES  8,000 for management.   ➢ Seizures - KES 12,156 for  investigations and KES  8,950 for man agement.  ",enhanced_text_extraction,0.9,False,enhanced_text
"support and end -of-life care.  Level 4 -6 KES. 5,000",17,"support and end -of-life care.  Level 4 -6 KES. 5,000",5000.0,"[4, 6]","which includes symptom management,  psychosocial support, caregiver  support and end -of-life care.  Level 4 -6 KES. 5,000     PPM: Per diem rate  ➢ Up to 60 days  ",enhanced_text_extraction,0.9,False,enhanced_text
"Level 4-6 ➢ Hearing aids – KES. 55,000",18,"Level 4-6 ➢ Hearing aids – KES. 55,000",55000.0,"[4, 6]","Parkinson ’s Disease and multiple  sclerosis.    Level 4-6 ➢ Hearing aids – KES. 55,000   ➢ Crutches – KES. 900  ➢ Clubfoot brace – KES. ",enhanced_text_extraction,0.9,False,enhanced_text
➢ Crutches – KES. 900,18,➢ Crutches – KES. 900,900.0,"[4, 6]","sclerosis.    Level 4-6 ➢ Hearing aids – KES. 55,000   ➢ Crutches – KES. 900  ➢ Clubfoot brace – KES.  1,000  ",enhanced_text_extraction,0.9,False,enhanced_text
➢ Walking frames – KES. 500,18,➢ Walking frames – KES. 500,500.0,,"➢ Clubfoot brace – KES.  1,000   ➢ Walking frames – KES. 500  ➢ Therapeutic footwear –  KES. 1,000  ➢ Medical devices will only be issued ",enhanced_text_extraction,0.9,False,enhanced_text
"KES. 1,000  ➢ Medical devices will only be issued",18,"KES. 1,000  ➢ Medical devices will only be issued",1000.0,,"➢ Walking frames – KES. 500  ➢ Therapeutic footwear –  KES. 1,000  ➢ Medical devices will only be issued  to persons with permanent disability  recognized by the National Council ",enhanced_text_extraction,0.9,False,enhanced_text
PRIMARY HEALTHCARE FUND,1,PRIMARY HEALTHCARE FUND,,,PRIMARY HEALTHCARE FUND,enhanced_table_extraction,0.85,False,enhanced_table_0_row_0
OUTPATIENT CARE SERVICES,1,OUTPATIENT CARE SERVICES,,,OUTPATIENT CARE SERVICES,enhanced_table_extraction,0.85,False,enhanced_table_0_row_1
"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",2,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",,,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",enhanced_table_extraction,0.85,False,enhanced_table_0_row_1
OPTICAL HEALTH SERVICES,4,OPTICAL HEALTH SERVICES,,,OPTICAL HEALTH SERVICES,enhanced_table_extraction,0.85,False,enhanced_table_0_row_1
END OF LIFE SERVICES,4,END OF LIFE SERVICES,,,END OF LIFE SERVICES,enhanced_table_extraction,0.85,False,enhanced_table_0_row_4
MEDICAL INPATIENT SERVICES,4,MEDICAL INPATIENT SERVICES,,,MEDICAL INPATIENT SERVICES,enhanced_table_extraction,0.85,False,enhanced_table_0_row_7
RENAL CARE PACKAGE,8,RENAL CARE PACKAGE,,,RENAL CARE PACKAGE,enhanced_table_extraction,0.85,False,enhanced_table_0_row_1
SURGICAL SERVICES PACKAGE,9,SURGICAL SERVICES PACKAGE,,,SURGICAL SERVICES PACKAGE,enhanced_table_extraction,0.85,False,enhanced_table_0_row_4
ONCOLOGY SERVICES,11,ONCOLOGY SERVICES,,,ONCOLOGY SERVICES,enhanced_table_extraction,0.85,False,enhanced_table_0_row_1
SPECIALIZED LABORATORY SERVICE,14,SPECIALIZED LABORATORY SERVICE,,,SPECIALIZED LABORATORY SERVICE,enhanced_table_extraction,0.85,False,enhanced_table_0_row_1
AMBULANCE EVACUATION SERVICES,15,AMBULANCE EVACUATION SERVICES,,,AMBULANCE EVACUATION SERVICES,enhanced_table_extraction,0.85,False,enhanced_table_0_row_5
ACCIDENT & EMERGENCY SERVICES,15,ACCIDENT & EMERGENCY SERVICES,,,ACCIDENT & EMERGENCY SERVICES,enhanced_table_extraction,0.85,False,enhanced_table_0_row_8
"Health education and wellness,
counselling, and ongoing support as
needed.
➢ Consultation, diagnosis, and
treatment
➢ Prescribed laboratory
investigations
➢ Basic radiological examinations
including X-rays, ultrasounds.
➢ Prescription, drug administration
and dispensing
➢ Management of acute and chronic
conditions for endemic/local cases
➢ Management of NCDs, enteric
infections; neglected tropical",1,"Health education and wellness,
counselling, and ongoing support as
needed.
➢ Consultation, diagnosis, and
treatment
➢ Prescribed laboratory
investigations
➢ Basic radiological examinations
including X",900.0,"[2, 4]","Health education and wellness,
counselling, and ongoing support as
needed.
➢ Consultation, diagnosis, and
treatment
➢ Prescribed laboratory
investigations
➢ Basic radiological examinations
including X-rays, ultrasounds.
➢ Prescription, drug administration
and dispensing
➢ Management of acute and chronic
conditions for endemic/local cases
➢ Management of NCDs, enteric
infections; neglected tropical LEVEL 2, 3 and level 4 primary
health care referral facility
designated by the Authority ➢ KES 900 per person per
annum
➢ PPM: Global Budget
➢ ARVs, HIV testing and
follow up tests, family
planning commodities, anti-
malarial medication and
testing, anti TBs and
testing, KEPI vaccines, as
provided in the guidelines,
will be offered at no cost to
the patient. ➢ Each facility will be mapped to a
Primary Care Network.
➢ All registered households will be
mapped to a PCN.
➢ The Global budget shall be allocated
based on the population in the PCN.
➢ The Global Budget allocation to the
PCN shall be made quarterly.
➢ Distribution of the Funds shall be
done at the end of the quarter based
on patient visits, weighted by disease
treated.
➢ ARVs, antimalarials, anti TBs, and
associated tests, family planning
commodities, KEPI vaccines will be
provided at public facilities, and faith",enhanced_table_extraction,0.85,False,enhanced_table_0_row_3
"diseases (NTDs), STI’s and
HIV/AIDS
➢ Screening for common health
conditions
➢ Minor surgical procedures and
medical procedures including male
circumcision.
➢ Immunization as per the KEPI
schedule and recommended
special vaccines.
➢ Reproductive, Maternal and Child
Health Services as defined by the
MOH guidelines",2,"diseases (NTDs), STI’s and
HIV/AIDS
➢ Screening for common health
conditions
➢ Minor surgical procedures and
medical procedures including male
circumcision.
➢ Immunization as per the KEPI
schedule and",,,"diseases (NTDs), STI’s and
HIV/AIDS
➢ Screening for common health
conditions
➢ Minor surgical procedures and
medical procedures including male
circumcision.
➢ Immunization as per the KEPI
schedule and recommended
special vaccines.
➢ Reproductive, Maternal and Child
Health Services as defined by the
MOH guidelines based & private facilities that report
to the health information system.",enhanced_table_extraction,0.85,False,enhanced_table_0_row_0
"➢ Ante-natal care, delivery by ways of
normal delivery, assisted delivery
and caesarean section as
necessitated.
➢ Aftercare for the mother together
with the newborn
➢ Midwifery, including episiotomy
care and nursing care.
➢ Operating, recovery, maternity
ward and other treatment room
charges including meals and special
diets.
➢ Immunisation for the newborn.
➢ Vitamin K for newborn,
chlorhexidine administration.
➢ Provision of warmth and newborn
resuscitation",2,"➢ Ante-natal care, delivery by ways of
normal delivery, assisted delivery
and caesarean section as
necessitated.
➢ Aftercare for the mother together
with the newborn
➢ Midwifery, including episiotomy
",11200.0,"[2, 3]","➢ Ante-natal care, delivery by ways of
normal delivery, assisted delivery
and caesarean section as
necessitated.
➢ Aftercare for the mother together
with the newborn
➢ Midwifery, including episiotomy
care and nursing care.
➢ Operating, recovery, maternity
ward and other treatment room
charges including meals and special
diets.
➢ Immunisation for the newborn.
➢ Vitamin K for newborn,
chlorhexidine administration.
➢ Provision of warmth and newborn
resuscitation Level 2-3 ➢ Normal Delivery – KES.
11,200
➢ Caesarean Section – KES.
32,600
➢ PPM: Case Based ➢ Normal delivery - maximum stay of
48 hours
➢ C-section - maximum stay of 72 hours
➢ Pregnancy emergency medicines such
as Tranexamic acid and magnesium
sulphate are included.
➢ PHC maternity benefits will be
accessed by any Kenyan resident
woman or child who is pregnant.
➢ Anti-D will only be provided to
Rhesus-negative mothers through
preauthorization.
➢ In case of peripartum and postnatal
complications beyond 48 hours for
normal deliveries and 72 hours for CS
deliveries, then per diem rate takes",enhanced_table_extraction,0.85,False,enhanced_table_0_row_3
"➢ Intra-admission and post-
discharge medication.
➢ Diagnostic laboratory tests
➢ Administration of blood and blood
products; derivatives and
components, artificial blood
products, and biological serum
➢ Medical supplies and equipment,
including oxygen.
➢ Postnatal family planning.
➢ Management of postpartum
infections and haemorrhage, birth
traumas and conditions related to
childbirth.
➢ Management of neonatal
conditions.
➢ Obstetric and neonatal
complications including intra-
admission postpartum/postnatal
infections and haemorrhage, birth
traumas and conditions related to
childbirth.
➢ Anti-D Serum for Rhesus-negative
mothers.",3,"➢ Intra-admission and post-
discharge medication.
➢ Diagnostic laboratory tests
➢ Administration of blood and blood
products; derivatives and
components, artificial blood
products, and biological seru",,,"➢ Intra-admission and post-
discharge medication.
➢ Diagnostic laboratory tests
➢ Administration of blood and blood
products; derivatives and
components, artificial blood
products, and biological serum
➢ Medical supplies and equipment,
including oxygen.
➢ Postnatal family planning.
➢ Management of postpartum
infections and haemorrhage, birth
traumas and conditions related to
childbirth.
➢ Management of neonatal
conditions.
➢ Obstetric and neonatal
complications including intra-
admission postpartum/postnatal
infections and haemorrhage, birth
traumas and conditions related to
childbirth.
➢ Anti-D Serum for Rhesus-negative
mothers. effect. All claims in this category will
have to undergo surveillance.
➢ ANC and PNC services will be
covered under the outpatient at the
PHC level.
➢ Management of complications for the
newborn will be charged separately
from the mother including but not
limited to sepsis, jaundice,
prematurity, necrotising enterocolitis,
at daily rebate rates for inpatient
services.",enhanced_table_extraction,0.85,False,enhanced_table_0_row_0
SCREENING & MANAGEMENT OF PRE-CANCEROUS LESIONS,3,SCREENING & MANAGEMENT OF PRE-CANCEROUS LESIONS,,,SCREENING & MANAGEMENT OF PRE-CANCEROUS LESIONS,enhanced_table_extraction,0.85,False,enhanced_table_0_row_1
"Screening for common cancers (breast,
cervix, prostate, and colon)",3,"Screening for common cancers (breast,
cervix, prostate, and colon) Level 2-6 with capacity ➢ HPV – KES. 3,600
➢ PSA – KES. 1,500
➢ Stool for occult blood –
KES. 400
➢ Cryotherapy – KES. 3,000 ➢ Prosta",3600.0,"[2, 6]","Screening for common cancers (breast,
cervix, prostate, and colon) Level 2-6 with capacity ➢ HPV – KES. 3,600
➢ PSA – KES. 1,500
➢ Stool for occult blood –
KES. 400
➢ Cryotherapy – KES. 3,000 ➢ Prostate cancer screening will only be
covered in males over 55 years.
➢ Colon cancer screening will only be
covered in males over 40 years.",enhanced_table_extraction,0.85,False,enhanced_table_0_row_3
"➢ Thermal Ablation – KES.
3,000
➢ LEEP – KES. 2,800 ➢ Screening for cervical cancer will only
be cov",4,"➢ Thermal Ablation – KES.
3,000
➢ LEEP – KES. 2,800 ➢ Screening for cervical cancer will only
be covered in women between 30-50
years
➢ HPV screening for females aged 35
and 45 years.",3000.0,,"➢ Thermal Ablation – KES.
3,000
➢ LEEP – KES. 2,800 ➢ Screening for cervical cancer will only
be covered in women between 30-50
years
➢ HPV screening for females aged 35
and 45 years.",enhanced_table_extraction,0.85,False,enhanced_table_0_row_0
"Services covered include consultation
and diagnosis, preventive, restorative,
and treatment services as necessary:
➢ Eye health education and
counselling.
➢ Eye tests including fundoscopy,
visual acuity testing, visual field
analysis.
➢ Treatment of refractive errors
through eyeglasses.",4,"Services covered include consultation
and diagnosis, preventive, restorative,
and treatment services as necessary:
➢ Eye health education and
counselling.
➢ Eye tests including fundoscopy,
visual acui",935.0,"[2, 3]","Services covered include consultation
and diagnosis, preventive, restorative,
and treatment services as necessary:
➢ Eye health education and
counselling.
➢ Eye tests including fundoscopy,
visual acuity testing, visual field
analysis.
➢ Treatment of refractive errors
through eyeglasses. Level 2-3 KES. 935 for Consultation and
dispensing of eyeglasses. ➢ Limit: KES. 1,000 per Household
➢ Pre-authorized service.
➢ Limited to beneficiaries below 18
years.
➢ Replacement of eyeglasses only after
every two years if indicated.",enhanced_table_extraction,0.85,False,enhanced_table_0_row_3
"Inpatient services shall include
management of disease/condition
while admitted.
➢ Pre-admission evaluation.
➢ Hospital accommodation charges,
meals and nursing care in a
general ward bed.",4,"Inpatient services shall include
management of disease/condition
while admitted.
➢ Pre-admission evaluation.
➢ Hospital accommodation charges,
meals and nursing care in a
general ward bed. Level 3 PPM",2400.0,[3],"Inpatient services shall include
management of disease/condition
while admitted.
➢ Pre-admission evaluation.
➢ Hospital accommodation charges,
meals and nursing care in a
general ward bed. Level 3 PPM: Per-Diem
Level 3 - KES. 2,400 ➢ Admission up to 50 days",enhanced_table_extraction,0.85,False,enhanced_table_0_row_9
"➢ Intra-admission consultation and
reviews by both general and
specialist consultants, Laboratory
investigations, medical imaging,
procedures, and medication.
➢ Bedside services including
physiotherapy, occupational
therapy, oxygen supply, medical
consumables, and therapeutic
nutritional support.
➢ Cross-matching and
administration of blood and blood
products; derivatives and
components, artificial blood
products, and biological serum.
➢ Post-discharge medication or
follow-up within the treatment
plan.",5,"➢ Intra-admission consultation and
reviews by both general and
specialist consultants, Laboratory
investigations, medical imaging,
procedures, and medication.
➢ Bedside services including
physiotherap",,,"➢ Intra-admission consultation and
reviews by both general and
specialist consultants, Laboratory
investigations, medical imaging,
procedures, and medication.
➢ Bedside services including
physiotherapy, occupational
therapy, oxygen supply, medical
consumables, and therapeutic
nutritional support.
➢ Cross-matching and
administration of blood and blood
products; derivatives and
components, artificial blood
products, and biological serum.
➢ Post-discharge medication or
follow-up within the treatment
plan.",enhanced_table_extraction,0.85,False,enhanced_table_0_row_0
"Health education and wellness,
counselling, and ongoing support as
needed
➢ Consultation, diagnosis, and
treatment.
➢ Prescribed laboratory
investigations.
➢ Basic radiological examinations
including X-rays, ultrasounds.
➢ Prescription, drug administration
and dispensing",5,"Health education and wellness,
counselling, and ongoing support as
needed
➢ Consultation, diagnosis, and
treatment.
➢ Prescribed laboratory
investigations.
➢ Basic radiological examinations
including ",2000.0,"[4, 6]","Health education and wellness,
counselling, and ongoing support as
needed
➢ Consultation, diagnosis, and
treatment.
➢ Prescribed laboratory
investigations.
➢ Basic radiological examinations
including X-rays, ultrasounds.
➢ Prescription, drug administration
and dispensing Level 4-6 ➢ KES 2,000
➢ PPM: Fee for Service –
Fixed Fee
➢ ARVs, HIV testing and
follow up tests, family
planning commodities, anti-
malarial medication and
testing, anti TBs and
testing, KEPI vaccines, as
provided in the guidelines, ➢ Limit: 4 Visits per year per person
➢ ARVs, antimalarials, anti TBs, and
associated tests, family planning
commodities, KEPI vaccines will be
provided at public facilities, and faith
based & private facilities that report
to the health information system.",enhanced_table_extraction,0.85,False,enhanced_table_0_row_4
"➢ Management of acute and chronic
conditions for endemic/local
cases
➢ Management of NCDs, enteric
infections; neglected tropical
diseases (NTDs), STI’s and
HIV/AIDS
➢ Screening for common health
conditions
➢ Minor surgical procedures and
medical procedures
➢ Immunization as per the KEPI
schedule and recommended
special vaccines
➢ Reproductive, Maternal and Child
Health Services as defined by the
MOH guidelines",6,"➢ Management of acute and chronic
conditions for endemic/local
cases
➢ Management of NCDs, enteric
infections; neglected tropical
diseases (NTDs), STI’s and
HIV/AIDS
➢ Screening for common health
cond",,,"➢ Management of acute and chronic
conditions for endemic/local
cases
➢ Management of NCDs, enteric
infections; neglected tropical
diseases (NTDs), STI’s and
HIV/AIDS
➢ Screening for common health
conditions
➢ Minor surgical procedures and
medical procedures
➢ Immunization as per the KEPI
schedule and recommended
special vaccines
➢ Reproductive, Maternal and Child
Health Services as defined by the
MOH guidelines will be offered at no cost to
the patient.",enhanced_table_extraction,0.85,False,enhanced_table_0_row_0
"Inpatient services shall include
management of disease/condition
while admitted.
➢ Pre-admission evaluation
➢ Hospital accommodation charges,
meals and nursing care in a general
ward bed
➢ Intra-admission consultation and
reviews by both general and
specialist consultants, Laboratory
investigations, medical imaging,
procedures, and medication",6,"Inpatient services shall include
management of disease/condition
while admitted.
➢ Pre-admission evaluation
➢ Hospital accommodation charges,
meals and nursing care in a general
ward bed
➢ Intra-admis",3500.0,"[4, 5, 6]","Inpatient services shall include
management of disease/condition
while admitted.
➢ Pre-admission evaluation
➢ Hospital accommodation charges,
meals and nursing care in a general
ward bed
➢ Intra-admission consultation and
reviews by both general and
specialist consultants, Laboratory
investigations, medical imaging,
procedures, and medication Level 4-6 ➢ Level 4 – KES 3,500
➢ Level 5 – KES 4,000
➢ Level 6 – KES 5,000
➢ PPM: Per Diem ➢ Limit: Up to 50 days per Household
➢ Days above that charged to ECCIF",enhanced_table_extraction,0.85,False,enhanced_table_0_row_3
"➢ Bedside services including
physiotherapy, occupational
therapy, oxygen supply, medical
consumables, and therapeutic
nutritional support.
➢ Cross-matching and
administration of blood and blood
products; derivatives and
components, artificial blood
products, and biological serum.
➢ Post-discharge medication or
follow-up within the treatment
plan.",7,"➢ Bedside services including
physiotherapy, occupational
therapy, oxygen supply, medical
consumables, and therapeutic
nutritional support.
➢ Cross-matching and
administration of blood and blood
produc",,,"➢ Bedside services including
physiotherapy, occupational
therapy, oxygen supply, medical
consumables, and therapeutic
nutritional support.
➢ Cross-matching and
administration of blood and blood
products; derivatives and
components, artificial blood
products, and biological serum.
➢ Post-discharge medication or
follow-up within the treatment
plan.",enhanced_table_extraction,0.85,False,enhanced_table_0_row_0
"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",7,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",,,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",enhanced_table_extraction,0.85,False,enhanced_table_0_row_1
"Delivery by ways of normal delivery,
assisted delivery and caesarean section
as necessitated.
➢ Aftercare for the mother together
with the newborn.
➢ Midwifery, including episiotomy
care and nursing care.
➢ Operating, recovery, maternity
ward and other treatment room
charges including meals and
special diets.
➢ Immunization for the newborn.
➢ Intra-admission and post-
discharge medication.
➢ Diagnostic laboratory tests.
➢ Administration of blood and
blood products; derivatives and",7,"Delivery by ways of normal delivery,
assisted delivery and caesarean section
as necessitated.
➢ Aftercare for the mother together
with the newborn.
➢ Midwifery, including episiotomy
care and nursing c",11200.0,"[4, 6]","Delivery by ways of normal delivery,
assisted delivery and caesarean section
as necessitated.
➢ Aftercare for the mother together
with the newborn.
➢ Midwifery, including episiotomy
care and nursing care.
➢ Operating, recovery, maternity
ward and other treatment room
charges including meals and
special diets.
➢ Immunization for the newborn.
➢ Intra-admission and post-
discharge medication.
➢ Diagnostic laboratory tests.
➢ Administration of blood and
blood products; derivatives and Level 4-6 ➢ Normal Delivery and
essential newborn care–
KES. 11,200
➢ Caesarean Section and
essential newborn care –
KES. 32,600
➢ PPM: Case Based ➢ Normal delivery - maximum stay of
48 hours
➢ C-section - maximum stay of 72
hours (including pregnancy
emergencies such as Tranexamic acid
and magnesium sulphate)
➢ SHIF maternity services will be
accessed by members and their
dependants with up-to-date
membership.
➢ In case of peripartum and postnatal
complications beyond 48 hours for
normal deliveries and 72 hours for CS
deliveries, then per diem rate takes
effect. All claims in this category will
have to undergo surveillance.",enhanced_table_extraction,0.85,False,enhanced_table_0_row_3
