id,specialty,intervention,tariff
45.0,Cardiothoracic and Vascular,Carotid Body Tumour Excision,246400.0
46.0,Cardiothoracic and Vascular,Carotid Body Tumour Redo Surgery,646800.0
47.0,Cardiothoracic and Vascular,Closed valvotomy,192000.0
48.0,Cardiothoracic and Vascular,Coarctation of Aorta repair with graft,280000.0
49.0,Cardiothoracic and Vascular,Coarctation of Aorta repair without graft,280000.0
50.0,Cardiothoracic and Vascular,Complete Atrioventricular Canal Defect Repair,1024800.0
51.0,Cardiothoracic and Vascular,Complex repair for congenital heart disease,1248800.0
52.0,Cardiothoracic and Vascular,Congenital AV fistula malformation Resection,201600.0
53.0,Cardiothoracic and Vascular,Conventional Elephant Trunk (CET) Procedure,1302000.0
54.0,Cardiothoracic and Vascular,Coronary artery Bypass Grafting (CABG),868000.0
55.0,Cardiothoracic and Vascular,Cox Maze IV Procedure,513000.0
56.0,Cardiothoracic and Vascular,Diaphragmatic Hernia Repair,224000.0
57.0,Cardiothoracic and Vascular,Dissected Aortic Aneurysm Repair (Open),392000.0
58.0,Cardiothoracic and Vascular,Double Valve Replacement,1248800.0
59.0,Cardiothoracic and Vascular,Endovascular Aneurysm Repair (EVAR),1626800.0
60.0,Cardiothoracic and Vascular,Esophagostomy,470400.0
61.0,Cardiothoracic and Vascular,ESRD AV Fistula Creation,78400.0
62.0,Cardiothoracic and Vascular,ESRD AV Graft Surgery,168000.0
63.0,Cardiothoracic and Vascular,Excision of Mediastinal Tumour,280000.0
64.0,Cardiothoracic and Vascular,Fontan procedure,954800.0
65.0,Cardiothoracic and Vascular,Frozen Elephant Trunk (FET) Procedure,1411200.0
66.0,Cardiothoracic and Vascular,Gastrostomy/Jejunostomy,89600.0
67.0,Cardiothoracic and Vascular,Heller's myotomy,386400.0
68.0,Cardiothoracic and Vascular,Insertion of MB tube,44800.0
69.0,Cardiothoracic and Vascular,Lung decortication,224000.0
70.0,Cardiothoracic and Vascular,Mitral Valve Replacement (MVR),1064000.0
71.0,Cardiothoracic and Vascular,Mitral Valvotomy / Balloon,224000.0
72.0,Cardiothoracic and Vascular,Myocardial Biopsy,44800.0
73.0,Cardiothoracic and Vascular,Oesophageal perforation Repair,554400.0
74.0,Cardiothoracic and Vascular,Oesophagectomy,747600.0
75.0,Cardiothoracic and Vascular,Open Lobectomy,590800.0
76.0,Cardiothoracic and Vascular,Open Lung Biopsy,350000.0
77.0,Cardiothoracic and Vascular,Open Patent Ductus Arteriosus (PDA) surgery,313600.0
78.0,Cardiothoracic and Vascular,Open Pneumonectomy,280000.0
79.0,Cardiothoracic and Vascular,Open Removal of Esophageal Foreign Body,554400.0
80.0,Cardiothoracic and Vascular,Open Removal of Tracheal/Bronchial Foreign Body,554400.0
81.0,Cardiothoracic and Vascular,Other aneurysms repair,392000.0
82.0,Cardiothoracic and Vascular,Pacemaker Change of battery,134400.0
83.0,Cardiothoracic and Vascular,Partial Atrioventricular Canal Defect Repair,784000.0
84.0,Cardiothoracic and Vascular,Pericardial Catheterization,89600.0
85.0,Cardiothoracic and Vascular,Pericardial Window,89600.0
86.0,Cardiothoracic and Vascular,Pericardiectomy,554400.0
87.0,Cardiothoracic and Vascular,Pericardiocentesis,56000.0
88.0,Cardiothoracic and Vascular,Peripheral Vascular Disease (PAD) Bypass Grafting,392000.0
89.0,Cardiothoracic and Vascular,Peripheral Vascular Disease (PAD) Embolectomy,168000.0
90.0,Cardiothoracic and Vascular,Peripheral Vascular Disease (PAD) Endovascular Balloon Angioplasty,280000.0
91.0,Cardiothoracic and Vascular,Peripheral Vascular Disease (PAD) Endovascular Stenting,280000.0
92.0,Cardiothoracic and Vascular,Peripheral Vascular Disease (PAD) Vascular Amputation,350000.0
93.0,Cardiothoracic and Vascular,Pleurodesis,144200.0
94.0,Cardiothoracic and Vascular,Primary Open Pacemaker implantation,224000.0
95.0,Cardiothoracic and Vascular,Pulmonary Artery Banding,481600.0
96.0,Cardiothoracic and Vascular,Repair of Ruptured Diaphragm,145600.0
97.0,Cardiothoracic and Vascular,"Simple Thoracotomy-Retained Haemothrax /Duct ligation/pleurodesis/FBremoval",201600.0
98.0,Cardiothoracic and Vascular,Simple tracheal/Bronchial fistula repairs,224000.0
99.0,Cardiothoracic and Vascular,Splenorenal shunt,112000.0
100.0,Cardiothoracic and Vascular,Subfascial DVT ligation + skin graft,89600.0
101.0,Cardiothoracic and Vascular,Tetralogy of Fallot Repair,952000.0
102.0,Cardiothoracic and Vascular,Thoracic Aortic Aneurysm Repair (Open),392000.0
103.0,Cardiothoracic and Vascular,Thoracic Endovascular Aneurysm Repair (TEVAR),2186800.0
104.0,Cardiothoracic and Vascular,Thoracotomy,350000.0
105.0,Cardiothoracic and Vascular,Tracheal Stenosis Resection and Anastomosis,747600.0
106.0,Cardiothoracic and Vascular,Tracheal/Bronchial Reconstruction,358400.0
107.0,Cardiothoracic and Vascular,Transcatheter percutaneous device PDA closure,414400.0
108.0,Cardiothoracic and Vascular,Traumatic Tracheal/Bronchial Disruption repair and anastomosis,747600.0
109.0,Cardiothoracic and Vascular,Traumatic Vascular Injury Repair,145600.0
110.0,Cardiothoracic and Vascular,Tube Thoracostomy,144200.0
111.0,Cardiothoracic and Vascular,Vascular Exposure and Safeguarding for Anterior Lumbar Interbody Fusion,498400.0
112.0,Cardiothoracic and Vascular,Venous Insufficiency Laser Ablation,263200.0
113.0,Cardiothoracic and Vascular,Venous Insufficiency Perforator Ligation,229600.0
114.0,Cardiothoracic and Vascular,Venous Insufficiency Radiofrequency Ablation,271600.0
115.0,Cardiothoracic and Vascular,Venous Insufficiency Stripping,229600.0
116.0,Cardiothoracic and Vascular,Ventricular Septal Defect Closure,868000.0
117.0,Cardiothoracic and Vascular,Vessel bypass Surgery,246400.0
118.0,Cardiothoracic and Vascular,Video Assisted Thoracoscopic Surgery (VATS) Decortication,224000.0
119.0,Cardiothoracic and Vascular,Video Assisted Thoracoscopic Surgery (VATS) Lobectomy,590800.0
120.0,Cardiothoracic and Vascular,Video Assisted Thoracoscopic Surgery (VATS) Pneumonectomy,280000.0
121.0,Ear Nose & Throat,Block dissection of the neck,224000.0
122.0,Ear Nose & Throat,Cochlea operations,358400.0
123.0,Ear Nose & Throat,Excision and reconstruction of head and neck tumours,257600.0
124.0,Ear Nose & Throat,Excision of pharyngeal diverticulum,168000.0
125.0,Ear Nose & Throat,Facial nerve decompression,358400.0
126.0,Ear Nose & Throat,Laryngectomy (Partial),201600.0
127.0,Ear Nose & Throat,Laryngectomy (Total),280000.0
128.0,Ear Nose & Throat,Laryngectomy with radical neck dissection,336000.0
129.0,Ear Nose & Throat,Middle ear tumour excision,224000.0
130.0,Ear Nose & Throat,Total/ Radical parotidectomy,168000.0
131.0,Ear Nose & Throat,"EUA and biopsy of nasopharynx, ears, nose",28000.0
132.0,Ear Nose & Throat,Frontal sinus trephination,22400.0
133.0,Ear Nose & Throat,Maxillary Artery Ligation,67200.0
134.0,Ear Nose & Throat,MUA # nose,33600.0
135.0,Ear Nose & Throat,Removal of FB in ear or nose (paediatrics under GA),61600.0
136.0,Ear Nose & Throat,Adenoidectomy,72240.0
137.0,Ear Nose & Throat,Adenotonsillectomy (Ts 7 As),77840.0
138.0,Ear Nose & Throat,Cricotracheal reconstruction,89600.0
139.0,Ear Nose & Throat,Direct laryngoscopy and biopsy,50400.0
140.0,Ear Nose & Throat,Excision of submandibular gland,89600.0
141.0,Ear Nose & Throat,Frontal mucocele,78400.0
142.0,Ear Nose & Throat,Functional endoscopic sinus surgery (FESS),123200.0
143.0,Ear Nose & Throat,Hemiglossectomy,89600.0
144.0,Ear Nose & Throat,Intranasal ethmoidectomy,112000.0
145.0,Ear Nose & Throat,Laryngocele excision,89600.0
146.0,Ear Nose & Throat,"Lateral Rhinotomy (due to tumour, scars or congenital)",67200.0
147.0,Ear Nose & Throat,Maxillectomy,134400.0
148.0,Ear Nose & Throat,Myringoplasty,67200.0
149.0,Ear Nose & Throat,Myringotomy,44800.0
150.0,Ear Nose & Throat,Nasal polypectomy,67200.0
151.0,Ear Nose & Throat,Radical mastoidectomy,145600.0
152.0,Ear Nose & Throat,"Rhinoplasty: Soft and bony tissue (Tumours, congenital, trauma)",89600.0
153.0,Ear Nose & Throat,"Rhinoplasty: Soft tissue (Tumors, congenital, trauma)",89600.0
154.0,Ear Nose & Throat,"Septoplasty (Tumors, congenital, trauma)",44800.0
155.0,Ear Nose & Throat,Simple mastoidectomy,44800.0
156.0,Ear Nose & Throat,Submucous resection of nasal septum,44800.0
157.0,Ear Nose & Throat,Superficial Parotidectomy,89600.0
158.0,Ear Nose & Throat,T.I.T. and Intranasal Antrostomy,100800.0
159.0,Ear Nose & Throat,T.I.T. and Turbinoplasty,100800.0
160.0,Ear Nose & Throat,Tonsillectomy,56000.0
161.0,Ear Nose & Throat,Transplatatal excision of Choanal atresia,89600.0
162.0,Ear Nose & Throat,Tympanoplasty,78400.0
163.0,Ear Nose & Throat,Uvulopalatopharyngoplasty,78400.0
164.0,Ear Nose & Throat,Vocal Cord lateralisation,112000.0
165.0,General,Abdominoperineal resection (APR-tumor),134400.0
166.0,General,Anterior Resection of Rectum,123200.0
167.0,General,Appendicectomy,67200.0
168.0,General,Bilateral Herniotomy,56000.0
169.0,General,Bilateral Herniotomy + orchidopexy,56000.0
170.0,General,Bilateral inguinal herniorrapphy,56000.0
171.0,General,Bilateral Orchidopexy,56000.0
172.0,General,Bowel resection and anastomosis,112000.0
173.0,General,Breast Lumpectomy under GA,22400.0
174.0,General,Cervical lymph node biopsy,11200.0
175.0,General,Cholecystectomy,89600.0
176.0,General,Closure of Colostomy,89600.0
177.0,General,Colostomy,89600.0
178.0,General,diathermy excision of warts or subcutaneous tissue,8960.0
179.0,General,Drainage of Breast abscess (only under GA),11200.0
180.0,General,Excision of Liver hydatid cyst,134400.0
181.0,General,Excision of Thyroglossal cyst,89600.0
182.0,General,Exploration of retroperitoneal mass,112000.0
183.0,General,Exploratory Laparotomy,67200.0
184.0,General,gastrojejunostomy,134400.0
185.0,General,Haemorrhoidectomy,44800.0
186.0,General,Hemicolectomy,134400.0
187.0,General,Incision & Drainage (Peri anal Abscess),14000.0
188.0,General,Incision & Drainage Under GA,11200.0
189.0,General,Incision +drainage head and neck abscess (I&D) under GA,11200.0
190.0,General,Incision and drainage of ocular abscess or cyst (I&D),5600.0
191.0,General,Insertion of chest tube / chest aspiration,8960.0
192.0,General,Intestinal resection + anastomosis,134400.0
193.0,General,Laparoscopic Niessens fundoplication,212800.0
194.0,General,Laparotomy for Pyloric stenosis,134400.0
195.0,General,Lateral Sphincterotomy,44800.0
196.0,General,Lumbar puncture,5600.0
197.0,General,Lymph node biopsy,11200.0
198.0,General,Minor Surgical Toilet Under GA,11200.0
199.0,General,Needle biopsy: liver,16800.0
200.0,General,Nerve release and decompression,44800.0
201.0,General,Oesophagoscopy and removal of FB,8960.0
202.0,General,Orchidectomy,44800.0
203.0,General,Paediatric (below 6 years) Circumcision only under GA (phymosis),22400.0
204.0,General,Paracentesis,5600.0
205.0,General,Partial Gastrectomy,123200.0
206.0,General,Primary repair of incisional hernia laparoscopic,56000.0
207.0,General,Radical Mastectomy (To include lymph nodes clearance),134400.0
208.0,General,Repair minor scalp wounds/lacerations under GA,11200.0
209.0,General,Repair of burst abdomen,44800.0
210.0,General,Repair of epigastric hernia,56000.0
211.0,General,Repair of hiatus hernia,168000.0
212.0,General,Repair of incisional hernia (with mesh),78400.0
213.0,General,Repair of perforated duodenal ulcer,134400.0
214.0,General,Repair of previous incision in abdominal wall,78400.0
215.0,General,Repair of strangulated hernias,89600.0
216.0,General,Repair of umbilical hernia (with mesh),44800.0
217.0,General,Simple Mastectomy,89600.0
218.0,General,Skin biopsy,8960.0
219.0,General,Splenectomy,134400.0
220.0,General,Stripping of bilateral varicose veins,78400.0
221.0,General,Subdural haematoma Evacuation,134400.0
222.0,General,"Surgical Debridement/Escharectomy: (Minor, Medium & Major), traumatic,pressure sores, diabetic and burns (Under GA)",33600.0
223.0,General,Surgical toilet under GA,11200.0
224.0,General,Thyroidectomy,134400.0
225.0,General,Total Gastrectomy,134400.0
226.0,General,Total Oesophagectomy,504000.0
227.0,General,Tracheostomy,44800.0
228.0,General,Transverse Colectomy,134400.0
229.0,General,Unilateral Adrenalectomy,168000.0
230.0,General,Unilateral femoral herniorrhaphy,56000.0
231.0,General,Unilateral gynaecomastia correction,56000.0
232.0,General,Unilateral Herniotomy,56000.0
233.0,General,Unilateral Herniotomy + orchidopexy,56000.0
234.0,General,Unilateral Orchidopexy,56000.0
235.0,General,Unilateral sympathectomy,56000.0
236.0,General,Vagotomy + drainage,56000.0
237.0,Interventional Radiology,"4-vessel cereral Angiography / Carotid Angiography (unilateral or bilateral)vertebral angiogram",61600.0
238.0,Interventional Radiology,Balloon Angioplasty,145600.0
239.0,Interventional Radiology,Bilateral nephrostomy tube insertion,72800.0
240.0,Interventional Radiology,Biliary stenting,112000.0
241.0,Interventional Radiology,CT guided bone biopsy,22400.0
242.0,Interventional Radiology,CT guided lung biopsy,22400.0
243.0,Interventional Radiology,DJ stenting bilateral,56000.0
244.0,Interventional Radiology,DJ stenting unilateral,56000.0
245.0,Interventional Radiology,Embolization/Carotid/Renal/Hepatic (no coils),224000.0
246.0,Interventional Radiology,"Embolization/Carotid/Renal/Hepatic (no coils, embolization material andmicrocatheter)",168000.0
247.0,Interventional Radiology,Embolization/Carotid/Renal/Hepatic (no micro catheter),280000.0
248.0,Interventional Radiology,Fallopian tube Catheterization,61600.0
249.0,Interventional Radiology,"Flush Aortogram/Renal Artery/Hepatic (with embolization material andmicrocatheter",246400.0
250.0,Interventional Radiology,Image guided chemo port insertion (adult),15000.0
251.0,Interventional Radiology,Image guided chemo port insertion (paediatric),20000.0
252.0,Interventional Radiology,Image guided CVC insertion,15568.0
253.0,Interventional Radiology,Image guided dialysis catheter insertion,36176.0
254.0,Interventional Radiology,Image guided gastrotomy tube/nasojejunal tube insertion (without tube),11200.0
255.0,Interventional Radiology,Image guided PICC line insertion,31024.0
256.0,Interventional Radiology,Internalization of biliary tube,50400.0
257.0,Interventional Radiology,Lower limb/ upper limb arteriogram bilateral,58800.0
258.0,Interventional Radiology,Lower limb/ upper limb arteriogram unilateral,54880.0
259.0,Interventional Radiology,Neuro-embolization,392000.0
260.0,Interventional Radiology,PTC/Biliary drainage,89600.0
261.0,Interventional Radiology,PTC/Biliary drainage (tubes not available),56000.0
262.0,Interventional Radiology,PTC/Biliary drainage and stenting (stent available),190400.0
263.0,Interventional Radiology,Ultrasound guided abdominal and peripheral biopsies,22400.0
264.0,Interventional Radiology,Ultrasound guided ascites drainage/abscess drainage,22400.0
265.0,Interventional Radiology,Ultrasound guided bilateral pleural effusion drainage,44800.0
266.0,Interventional Radiology,Ultrasound guided breast/prostate biopsies,16800.0
267.0,Interventional Radiology,Ultrasound guided unilateral pleural effusion drainage,22400.0
268.0,Interventional Radiology,Unilateral nephrostomy tube insertion,47040.0
269.0,Maxillofacial,Bilateral Open Joint Arthroplasty with condylar add-on,392000.0
270.0,Maxillofacial,Bilateral Open Joint Arthroplasty with costochondral graft+/-Temporalis fascia,336000.0
271.0,Maxillofacial,Cheiloplasty without Flap closure,44800.0
272.0,Maxillofacial,Closed reduction # Mandible/ Maxilla/MMF,134400.0
273.0,Maxillofacial,Closed Rhinoplasty,56000.0
274.0,Maxillofacial,Closure Cleft Oronasal Fistula + Bone graft,168000.0
275.0,Maxillofacial,Closure Cleft Oronasal Fistula with no Bone graft,112000.0
276.0,Maxillofacial,Closure Oro- Antral fistula without flap,44800.0
277.0,Maxillofacial,Complex nerve exploration+microsurgical repair,168000.0
278.0,Maxillofacial,Complex Salivary gland Sialedenectomy/Tumours excision+/-RMND,336000.0
279.0,Maxillofacial,ComplexFacial STR+Viin/Parotid Duct Repair,112000.0
280.0,Maxillofacial,Coronoidectomy,89600.0
281.0,Maxillofacial,Costocondral graft to Mandible post Tumour resection and implant,168000.0
282.0,Maxillofacial,"Debridement of Necrotising Orofacial infections pertheatre encounter",44800.0
283.0,Maxillofacial,Elevation # Zygoma: ORIF,145600.0
284.0,Maxillofacial,Elevation #Zygoma: Closed,56000.0
285.0,Maxillofacial,Enucleation Mandibular/ Maxillary cyst,67200.0
286.0,Maxillofacial,EUA Diagnostic for Oro-facial / Biopsy,28000.0
287.0,Maxillofacial,Excision of Complex facial Hemangioma/Lymphangioma,201600.0
288.0,Maxillofacial,Excision of Head / Neck lipoma >8cm,33600.0
289.0,Maxillofacial,Excision Of Oral / Facial Odontogenic tumors,280000.0
290.0,Maxillofacial,Excision of Scalp lesion +/- Wolfe graft,78400.0
291.0,Maxillofacial,Excision of Simple facial Hemangioma/Lymphangioma,89600.0
292.0,Maxillofacial,Excision/ Revision Facial scar,44800.0
293.0,Maxillofacial,Excisionof Oral/ Facial BCC + Local Flap Reconstruction,280000.0
294.0,Maxillofacial,Exploration of Submandibular/ Parotid Gland duct w/ stent,112000.0
295.0,Maxillofacial,Exploration/ removal Cranio- Facial Foreign bodies,145600.0
296.0,Maxillofacial,Exploration/ removal Cranio- Facial Foreign bodies (minor),33600.0
297.0,Maxillofacial,Exploration/Graft orbital fracture,201600.0
298.0,Maxillofacial,Facial Soft tissue Repair,44800.0
299.0,Maxillofacial,Fractures of Upper face and cranioplasty,336000.0
300.0,Maxillofacial,Full thickness skin graft to oral defect-,89600.0
301.0,Maxillofacial,Functional Orthognathic surgeries of the Maxilla/Mandible,308000.0
302.0,Maxillofacial,Lip shave and mucosal advancement flap,112000.0
303.0,Maxillofacial,Mandibular fractures (ORIF),145600.0
304.0,Maxillofacial,Mandibular/Maxillary Autogenous bone graft,168000.0
305.0,Maxillofacial,Mandibulectomy plus Reconstruction/Plating,224000.0
306.0,Maxillofacial,Mandibulectomy/Maxillectomy plus Microvascular Bone graft,224000.0
307.0,Maxillofacial,Maxillectomy + Obturator,179200.0
308.0,Maxillofacial,Mid face fractures,145600.0
309.0,Maxillofacial,Oral/ facial/ Catilage Onlay graft,112000.0
310.0,Maxillofacial,Panfacial fractures,392000.0
311.0,Maxillofacial,Post condylar cartilage Bilateral graft,168000.0
312.0,Maxillofacial,Reduction of Alveolar fracture closed,33600.0
313.0,Maxillofacial,Reduction of Alveolar fracture Open,145600.0
314.0,Maxillofacial,Removal of Bone plates,89600.0
315.0,Maxillofacial,Removal of branchial cyst/sinus/Ranula,89600.0
316.0,Maxillofacial,Revision Cleft Lip/ Nose,89600.0
317.0,Maxillofacial,Revision Palatoplasty- MicroVascular and Donor site graft,280000.0
318.0,Maxillofacial,Revision Palatoplasty-Rotational Flap,145600.0
319.0,Maxillofacial,Revision Vestibulopalsty + Skin graft,201600.0
320.0,Maxillofacial,RMND+ Mandibulectomy/Maxillectomy with Microvascular Free Flap,358400.0
321.0,Maxillofacial,"RMND+Pedicled Flap Mandibulectomy/Maxillectomy+/- Implant",280000.0
322.0,Maxillofacial,Salivary Duct Redirection (Wilkie procedure),89600.0
323.0,Maxillofacial,Secondary Craniofacial Reconstruction,392000.0
324.0,Maxillofacial,Segmental Osteotomy Mandible/Maxilla,168000.0
325.0,Maxillofacial,Sequestrectomy/ Decortication Mandible Maxilla,67200.0
326.0,Maxillofacial,Simple Nerve exploration + repair,112000.0
327.0,Maxillofacial,Simple Salivary Gland Sialedonectomy /Sialolithectomy,100800.0
328.0,Maxillofacial,Simple Vestibulopalsty + Skin graft,89600.0
329.0,Maxillofacial,Superficial Parotidectomy,89600.0
330.0,Maxillofacial,Temporalis/ Masseter Myotomy,112000.0
331.0,Maxillofacial,TMJ Arthroscopy,44800.0
332.0,Maxillofacial,Torticollis / Fibromatosis Colli Correction,145600.0
333.0,Neurosurgery,Acrylic Cranioplasty,224000.0
334.0,Neurosurgery,Anterior cervical fusion - AO plating/POSTERIOR DECOMPRESSION,448000.0
335.0,Neurosurgery,Application of skull calipers,56000.0
336.0,Neurosurgery,Brain abscess,268800.0
337.0,Neurosurgery,Brain Biopsy procedure,112000.0
338.0,Neurosurgery,Clipping of cerebral artery,448000.0
339.0,Neurosurgery,Craniotomy for Aneurysm,504000.0
340.0,Neurosurgery,Craniotomy for AV malformation,336000.0
341.0,Neurosurgery,Craniotomy for Intracelebral haematoma,336000.0
342.0,Neurosurgery,Craniotomy for Brain Tumour,504000.0
343.0,Neurosurgery,Elevation of depressed skull fracture,168000.0
344.0,Neurosurgery,Endoscopic Third Ventriculostomy w Choroid Plexux Cauterization (ETV/CPC),208000.0
345.0,Neurosurgery,EVD Insertion/ICP Monitoring,112000.0
346.0,Neurosurgery,Excision of intracranial nerve lesions,280000.0
347.0,Neurosurgery,Excision of spinal tumours,280000.0
348.0,Neurosurgery,Extradural haematoma,112000.0
349.0,Neurosurgery,Laminectomy for cervical / thoracic / or lumbar spine,145600.0
350.0,Neurosurgery,Microdiscectomy,145600.0
351.0,Neurosurgery,Microsurgical nerve graft / Nerve repair / exploration/microsurgical anastomosis,145600.0
352.0,Neurosurgery,Posterior fossa surgery,504000.0
353.0,Neurosurgery,Repair of Dura for non-trauma/non cancer related,224000.0
354.0,Neurosurgery,Spina Bifida Surgery/encephalocoele,168000.0
355.0,Neurosurgery,Spinal fusions with implants II level,280000.0
356.0,Neurosurgery,Spinal fusions with implants III level,313600.0
357.0,Neurosurgery,Spinal fusions with implants IV level,313600.0
358.0,Neurosurgery,Surgical Toilet and repair of major scalp wounds under GA,67200.0
359.0,Neurosurgery,Surgical Toilet for scalp tumour under GA,67200.0
360.0,Neurosurgery,Ventriculoperitoneal (VP) shunting,210000.0
361.0,Neurosurgery,VP shunting,100800.0
362.0,Obs & Gyn,AP colpoperineorrhaphy,89600.0
363.0,Obs & Gyn,bilateral tubal ligation,28000.0
364.0,Obs & Gyn,Cerclage,22400.0
365.0,Obs & Gyn,Colposuspension + D&C,33600.0
366.0,Obs & Gyn,Cornual Wedge resection for Interstitial Ectopic Pregnancy,134400.0
367.0,Obs & Gyn,D & C + Cone biopsy,28000.0
368.0,Obs & Gyn,Diagnostic / Dye Laparoscopy,22400.0
369.0,Obs & Gyn,Dilation and Curettage for incomplete abortion/miscarriage,66000.0
370.0,Obs & Gyn,Laparotomy: Endometriosis Surgery,134400.0
371.0,Obs & Gyn,Laparotomy: Exploratory / Adhesiolysis,134400.0
372.0,Obs & Gyn,Laparotomy: Hysterectomy (Abdominal),89600.0
373.0,Obs & Gyn,Laparotomy: Metroplasty / Uteroplasty,134400.0
374.0,Obs & Gyn,Laparotomy: Myomectomy,89600.0
375.0,Obs & Gyn,Laparotomy: Ovarian cystectomy,89600.0
376.0,Obs & Gyn,Laparotomy: Pelvic Abscess,134400.0
377.0,Obs & Gyn,Laparotomy: Ruptured ectopic pregnancy,134400.0
378.0,Obs & Gyn,Laparotomy: Salpingo – oopherectomy,134400.0
379.0,Obs & Gyn,Laparotomy: Tuboplasty,89600.0
380.0,Obs & Gyn,Laparotomy: Vaginal Hysterectomy,89600.0
381.0,Obs & Gyn,LLETZ (Loop excision),22400.0
382.0,Obs & Gyn,Manchester Repair,134400.0
383.0,Obs & Gyn,Manual Vaccum Aspiriation,11200.0
384.0,Obs & Gyn,Marsupialisation of Batholins Cyst / Abscess,16800.0
385.0,Obs & Gyn,Obstetric Examination under GA,33000.0
386.0,Obs & Gyn,Operative Hysteroscopy: Avulsion of Endometrial Polyps,22400.0
387.0,Obs & Gyn,Operative Hysteroscopy: Biopsy,22400.0
388.0,Obs & Gyn,Operative Hysteroscopy: Endometrial Ablation,33600.0
389.0,Obs & Gyn,Operative Hysteroscopy: Resection of Submucous Fibroid,22400.0
390.0,Obs & Gyn,Operative Hysteroscopy: Retrieval of lost/ fragmented IUCD,8960.0
391.0,Obs & Gyn,Operative Hysteroscopy: Synechiolysis / Septolysis,33600.0
392.0,Obs & Gyn,Operative Laparoscopy: Adhesiolysis,134400.0
393.0,Obs & Gyn,Operative Laparoscopy: Ectopic Pregnancy,134400.0
394.0,Obs & Gyn,Operative Laparoscopy: Endometriosis Surgery,134400.0
395.0,Obs & Gyn,Operative Laparoscopy: Hysterectomy,89600.0
396.0,Obs & Gyn,Operative Laparoscopy: Myomectomy,89600.0
397.0,Obs & Gyn,Operative Laparoscopy: Ovarian Cystectomy / Drilling,89600.0
398.0,Obs & Gyn,Operative Laparoscopy: Tuboplasty,89600.0
399.0,Obs & Gyn,Ovarian cancer resection (Pelvic clearance),246400.0
400.0,Obs & Gyn,Radical Vulvectomy,168000.0
401.0,Obs & Gyn,removal of retained placenta under GA,11200.0
402.0,Obs & Gyn,Repair of rectovaginal fistula,89600.0
403.0,Obs & Gyn,Repair of ruptured uterus/Caesarian Hysterectomy,134400.0
404.0,Obs & Gyn,Repair of vesicovaginal fistula,89600.0
405.0,Obs & Gyn,Resuturing of burst abdomen,44800.0
