fund,service,scope_item,access_point,item_label,item_tariff,block_tariff,item_rules,block_rules,mapping_type
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,Immuniz atio nas per the KEPI schedule and recomm ended special vaccines.,,,,,[],['based & private facilities that report to the health information system.'],block
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,"Reproductive, Maternal and Child Health Services as defined by the MOH guide lines",,,,,[],['based & private facilities that report to the health information system.'],block
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Ante-natal care, delivery by ways of normal delivery, assisted delivery and caes are ans ectio nas necessitated.",Level 2 - 3,Normal Delivery – .,11.0,11.0,['Normal delivery - maximum stay of 48 hours'],"['C-section - maximum stay of 72 hours', 'Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.', 'PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant.', 'Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes']",itemized
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",After care for the mother together with the newborn,Level 2 - 3,,,11.0,[],"['C-section - maximum stay of 72 hours', 'Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.', 'PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant.', 'Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes']",itemized
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Midwifery, including episio tomy care and nursing care.",Level 2 - 3,,,11.0,[],"['C-section - maximum stay of 72 hours', 'Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.', 'PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant.', 'Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes']",itemized
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Operating, recovery, maternity ward and other treatment room charges including meals and special diets.",Level 2 - 3,,,11.0,[],"['C-section - maximum stay of 72 hours', 'Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.', 'PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant.', 'Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes']",itemized
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Immunisation for the newborn.,Level 2 - 3,,,11.0,[],"['C-section - maximum stay of 72 hours', 'Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.', 'PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant.', 'Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes']",itemized
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Vitam inK for newborn, chlorhexidine administration.",Level 2 - 3,,,11.0,[],"['C-section - maximum stay of 72 hours', 'Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.', 'PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant.', 'Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes']",itemized
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Provision of warmth and newborn resuscitation,Level 2 - 3,,,11.0,[],"['C-section - maximum stay of 72 hours', 'Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.', 'PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant.', 'Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes']",itemized
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Intra- admission and post- discharge medication.,,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANC and PNCser vic eswi llbe covered under the out patient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limit edto sep sis, jaundice, prematurity, necrotising enterocolitis, atdail yreb ate rates for inpatient services.']",block
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Diagnostic laboratory tests,,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANC and PNCser vic eswi llbe covered under the out patient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limit edto sep sis, jaundice, prematurity, necrotising enterocolitis, atdail yreb ate rates for inpatient services.']",block
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Administration of blood and blood products; derivatives and components, artificial blood products, and biological serum",,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANC and PNCser vic eswi llbe covered under the out patient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limit edto sep sis, jaundice, prematurity, necrotising enterocolitis, atdail yreb ate rates for inpatient services.']",block
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Medical supplies and equipment, including oxygen.",,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANC and PNCser vic eswi llbe covered under the out patient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limit edto sep sis, jaundice, prematurity, necrotising enterocolitis, atdail yreb ate rates for inpatient services.']",block
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Post natal family plan ning.,,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANC and PNCser vic eswi llbe covered under the out patient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limit edto sep sis, jaundice, prematurity, necrotising enterocolitis, atdail yreb ate rates for inpatient services.']",block
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Man age mentof post partum infections and haemorrhage, birth traumas and conditions related to child birth.",,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANC and PNCser vic eswi llbe covered under the out patient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limit edto sep sis, jaundice, prematurity, necrotising enterocolitis, atdail yreb ate rates for inpatient services.']",block
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Man age mentof neonatal conditions.,,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANC and PNCser vic eswi llbe covered under the out patient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limit edto sep sis, jaundice, prematurity, necrotising enterocolitis, atdail yreb ate rates for inpatient services.']",block
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Obste tric and neonatal complications including int ra- admission post par tum / post natal infections and haemorrhage, birth traumas and conditions related to child birth.",,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANC and PNCser vic eswi llbe covered under the out patient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limit edto sep sis, jaundice, prematurity, necrotising enterocolitis, atdail yreb ate rates for inpatient services.']",block
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Anti-D Serum for Rhes us- negative mothers. SCREENING & MANAGEMENT OF PRE- CAN CEROUS LESIONS,,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANC and PNCser vic eswi llbe covered under the out patient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limit edto sep sis, jaundice, prematurity, necrotising enterocolitis, atdail yreb ate rates for inpatient services.']",block
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Screening for common cancers ( breast, cervix, pro state, and colon )",Level 2 - 6 with capacity,,,3.0,['Pro state cancer screening will only be covered in males over 55 years.'],['Colon cancer screening will only be covered in males over 40 years.'],itemized
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",,,,,3.0,[],"['Screening for cervical cancer will only be covered in women between 30 - 50 years', 'HPV screening for females aged 35 and 45 years.']",block
PRIMARY HEALTH CARE FUND,OPTICAL HEALTH SERVICES,"Services covered include consultation and diagnosis, preventive, restorative, and treatment services as necessary:",Level 2 - 3,,,935.0,[],"['Limit: KES. 1, 000 per Household', 'Pre- authorized service.', 'Limited to beneficiaries below 18 years.']",itemized
PRIMARY HEALTH CARE FUND,OPTICAL HEALTH SERVICES,Eye health education and counselling.,Level 2 - 3,,,935.0,[],"['Limit: KES. 1, 000 per Household', 'Pre- authorized service.', 'Limited to beneficiaries below 18 years.']",itemized
PRIMARY HEALTH CARE FUND,OPTICAL HEALTH SERVICES,"Eye tests including fund oscopy, visual acuity testing, visual field analysis.",Level 2 - 3,,,935.0,[],"['Limit: KES. 1, 000 per Household', 'Pre- authorized service.', 'Limited to beneficiaries below 18 years.']",itemized
PRIMARY HEALTH CARE FUND,OPTICAL HEALTH SERVICES,Treatment of refractive errors through eye glasses.,Level 2 - 3,,,935.0,['Replacement of eye glasses only after every two years if indicated.'],"['Limit: KES. 1, 000 per Household', 'Pre- authorized service.', 'Limited to beneficiaries below 18 years.']",itemized
PRIMARY HEALTH CARE FUND,END OF LIFE SERVICES,Preparation and storage of the body in mortuary,Where avail able,,,500.0,[],['Limit up to 5 days'],block
PRIMARY HEALTH CARE FUND,END OF LIFE SERVICES,Preservation and storage of the body in mortuary.,Where avail able,,,500.0,[],['Limit up to 5 days'],block
PRIMARY HEALTH CARE FUND,MEDICAL INPATIENT SERVICES,Inpatient services shall include management of disease / condition while admitted.,Level 3,,,2.0,[],[],itemized
PRIMARY HEALTH CARE FUND,MEDICAL INPATIENT SERVICES,Pre- admission evaluation.,Level 3,,,2.0,['Admission up to 50 days'],[],itemized
PRIMARY HEALTH CARE FUND,MEDICAL INPATIENT SERVICES,"Hospital accommodation charges, meals and nursing care in general ward bed.",Level 3,,,2.0,[],[],itemized
PRIMARY HEALTH CARE FUND,MEDICAL INPATIENT SERVICES,"Intra- admission consultation and review sbyboth general and special ist consultants, Laboratory investigations, medical imaging, procedures, and medication.",Level 3,,,2.0,[],[],itemized
PRIMARY HEALTH CARE FUND,MEDICAL INPATIENT SERVICES,"Bed side services including physio the rapy, occupational therapy, oxygen supply, medical consumables, and the rape utic nutritional support.",Level 3,,,2.0,[],[],itemized
PRIMARY HEALTH CARE FUND,MEDICAL INPATIENT SERVICES,"Cross- match ing and administration of blood and blood products; derivatives and components, artificial blood products, and biological serum.",Level 3,,,2.0,[],[],itemized
PRIMARY HEALTH CARE FUND,MEDICAL INPATIENT SERVICES,Post - dis charge med icatio nor follow - up within the treatment plan.,Level 3,,,2.0,[],[],itemized
SOCIAL HEALTH INSURANCE FUND,OUT PATIENT CARE SERVICES,"Health education and wellness, counselling, and ongoing support as needed",Level 4 - 6,,,2.0,[],"['Limit: 4 Visits per year per person', 'ARVs, anti mal ari als, anti TBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith based & private facilities that report to the health information system.']",block
SOCIAL HEALTH INSURANCE FUND,OUT PATIENT CARE SERVICES,"Consultation, diagnosis, and treatment.",Level 4 - 6,,,2.0,[],"['Limit: 4 Visits per year per person', 'ARVs, anti mal ari als, anti TBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith based & private facilities that report to the health information system.']",block
SOCIAL HEALTH INSURANCE FUND,OUT PATIENT CARE SERVICES,Pre scri bed laboratory investigations.,Level 4 - 6,,,2.0,[],"['Limit: 4 Visits per year per person', 'ARVs, anti mal ari als, anti TBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith based & private facilities that report to the health information system.']",block
SOCIAL HEALTH INSURANCE FUND,OUT PATIENT CARE SERVICES,"Basic radiological examinations including X-rays, ultrasounds.",Level 4 - 6,,,2.0,[],"['Limit: 4 Visits per year per person', 'ARVs, anti mal ari als, anti TBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith based & private facilities that report to the health information system.']",block
SOCIAL HEALTH INSURANCE FUND,OUT PATIENT CARE SERVICES,"Prescription, drug administration and dispensing",Level 4 - 6,,,2.0,[],"['Limit: 4 Visits per year per person', 'ARVs, anti mal ari als, anti TBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith based & private facilities that report to the health information system.']",block
SOCIAL HEALTH INSURANCE FUND,OUT PATIENT CARE SERVICES,Management of acute and chronic conditions for end emic / local cases,,,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,OUT PATIENT CARE SERVICES,"Man age men tofNCDs, enteric infections; neglectedtropical diseases ( NTDs ), STI ’ sand HIV / AIDS",,,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,OUT PATIENT CARE SERVICES,Screening for common health conditions,,,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,OUT PATIENT CARE SERVICES,Minor surgical procedures and medical procedures,,,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,OUT PATIENT CARE SERVICES,Immuniz atio nas per the KEPI schedule and recomm ended special vaccines,,,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,OUT PATIENT CARE SERVICES,"Reproductive, Maternal and Child Health Services as defined by the MOH guide lines",,,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Inpatient services shall include management of disease / condition while admitted.,Level 4 - 6,,,3.0,[],"['Limit: Up to 50 days per Household', 'Days above that charged to ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Pre- admission evaluation,Level 4 - 6,,,3.0,[],"['Limit: Up to 50 days per Household', 'Days above that charged to ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,"Hospital accommodation charges, meals and nursing care in general ward bed",Level 4 - 6,,,3.0,[],"['Limit: Up to 50 days per Household', 'Days above that charged to ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,"Int ra- admission consultation and review sbyboth general and special ist consultants, Laboratory investigations, medical imaging, procedures, and medication",Level 4 - 6,,,3.0,[],"['Limit: Up to 50 days per Household', 'Days above that charged to ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,"Bed side services including physio the rapy, occupational therapy, oxygen supply, medical consumables, and the rape utic nutritional support.",Level 4 - 6,,,3.0,[],"['Limit: Up to 50 days per Household', 'Days above that charged to ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,"Cross- match ing and administration of blood and blood products; derivatives and components, artificial blood products, and biological serum.",Level 4 - 6,,,3.0,[],"['Limit: Up to 50 days per Household', 'Days above that charged to ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Post - dis charge med icatio nor follow - up within the treatment plan.,Level 4 - 6,,,3.0,[],"['Limit: Up to 50 days per Household', 'Days above that charged to ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES","Delivery by ways of normal delivery, assisted delivery and caesarean section as necessitated.",Level 4 - 6,Normal Delivery and essential newborn care – .,11.0,11.0,['Normal delivery - maximum stay of 48 hours'],"['C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate )', 'SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",After care for the mother together with the newborn.,Level 4 - 6,Caesarean Section and essential newborn care – .,32.0,11.0,[],"['C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate )', 'SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES","Midwifery, including episio tomy care and nursing care.",Level 4 - 6,,,11.0,[],"['C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate )', 'SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES","Operating, recovery, maternity ward and other treatment room charges including meals and special diets.",Level 4 - 6,,,11.0,[],"['C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate )', 'SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Immunization for the newborn.,Level 4 - 6,,,11.0,[],"['C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate )', 'SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Intra- admission and post- discharge medication.,Level 4 - 6,,,11.0,[],"['C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate )', 'SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Diagnostic laboratory tests.,Level 4 - 6,,,11.0,[],"['C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate )', 'SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES","Admin ist rat ionof blood and blood products; derivatives and components, artificial blood products, and biological serum.",Level 4 - 6,,,11.0,[],"['C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate )', 'SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES","Medical supplies and equipment, including oxygen.",Level 4 - 6,,,11.0,[],"['C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate )', 'SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Post natal family plan ning.,Level 4 - 6,,,11.0,[],"['C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate )', 'SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES","Man age mentof post partum infections and haemorrhage, birth traumas and conditions related to child birth.",Level 4 - 6,,,11.0,[],"['C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate )', 'SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Man age mentof neonatal conditions.,Level 4 - 6,,,11.0,[],"['C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate )', 'SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES","Obste tric and neonatal complications including int ra- admission post par tum / post natal infections and haemorrhage, birth traumas and conditions related to child birth.",Level 4 - 6,,,11.0,[],"['C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate )', 'SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,The management of kidney failure due tochro nic disease ora cute injuries / diseases through dialysis including:,Level 4 - 6,,,10.0,[],"['Maximum of 3 sessions per week for haemo dialysis.', 'Maximum of 2 sessions per week for hemodiafiltration.', 'Maximum of 12 sessions annually for per ito neal dialysis.', 'Payments will be made from the SHIF and ECCIF Funds.']",itemized
