fund,service,access_point,mapping_type,scope_item,item_label,item_tariff,block_tariff,item_rules,block_rules,tariff_raw,access_rules_raw
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Level 2 - 6 with capacity,itemized,"Screening for common cancers ( breast, cervix, pro state, and colon )",,,3.0,Pro state cancer screening will only be covered in males over 55 years.,Colon cancer screening will only be covered in males over 40 years.,"➢ HPV – KES. 3, 600 ➢ PSA – KES. 1, 500 ➢ Stool for occult blood – KES. 400 ➢ Cryo the rapy – KES. 3, 000",➢ Pro state cancer screening will only be covered in males over 55 years. ➢ Colon cancer screening will only be covered in males over 40 years.
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",,block,,,,3.0,,Screening for cervical cancer will only be covered in women between 30 - 50 years; HPV screening for females aged 35 and 45 years.,"➢ Thermal Ablation – KES. 3, 000 ➢ LEEP – KES. 2, 800",➢ Screening for cervical cancer will only be covered in women between 30 - 50 years ➢ HPV screening for females aged 35 and 45 years.
PRIMARY HEALTH CARE FUND,OPTICAL HEALTH SERVICES,Level 2 - 3,itemized,"Services covered include consultation and diagnosis, preventive, restorative, and treatment services as necessary:",,,935.0,,"Limit: KES. 1, 000 per Household; Pre- authorized service.; Limited to beneficiaries below 18 years.",KES. 935 for Consultation and dispensing of eye glasses.,"➢ Limit: KES. 1, 000 per Household ➢ Pre- authorized service. ➢ Limited to beneficiaries below 18 years. ➢ Replacement of eye glasses only after every two years if indicated."
PRIMARY HEALTH CARE FUND,OPTICAL HEALTH SERVICES,Level 2 - 3,itemized,Eye health education and counselling.,,,935.0,,"Limit: KES. 1, 000 per Household; Pre- authorized service.; Limited to beneficiaries below 18 years.",KES. 935 for Consultation and dispensing of eye glasses.,"➢ Limit: KES. 1, 000 per Household ➢ Pre- authorized service. ➢ Limited to beneficiaries below 18 years. ➢ Replacement of eye glasses only after every two years if indicated."
PRIMARY HEALTH CARE FUND,OPTICAL HEALTH SERVICES,Level 2 - 3,itemized,"Eye tests including fund oscopy, visual acuity testing, visual field analysis.",,,935.0,,"Limit: KES. 1, 000 per Household; Pre- authorized service.; Limited to beneficiaries below 18 years.",KES. 935 for Consultation and dispensing of eye glasses.,"➢ Limit: KES. 1, 000 per Household ➢ Pre- authorized service. ➢ Limited to beneficiaries below 18 years. ➢ Replacement of eye glasses only after every two years if indicated."
PRIMARY HEALTH CARE FUND,OPTICAL HEALTH SERVICES,Level 2 - 3,itemized,Treatment of refractive errors through eye glasses.,,,935.0,Replacement of eye glasses only after every two years if indicated.,"Limit: KES. 1, 000 per Household; Pre- authorized service.; Limited to beneficiaries below 18 years.",KES. 935 for Consultation and dispensing of eye glasses.,"➢ Limit: KES. 1, 000 per Household ➢ Pre- authorized service. ➢ Limited to beneficiaries below 18 years. ➢ Replacement of eye glasses only after every two years if indicated."
PRIMARY HEALTH CARE FUND,END OF LIFE SERVICES,Where avail able,block,Preparation and storage of the body in mortuary; Preservation and storage of the body in mortuary.,,,500.0,,Limit up to 5 days,➢ KES 500 per day ➢ PPM: Per Diem,➢ Limit up to 5 days
PRIMARY HEALTH CARE FUND,MEDICAL INPATIENT SERVICES,Level 3,itemized,Inpatient services shall include management of disease / condition while admitted.,,,2.0,,,"PPM: Per- Diem Level 3 - KES. 2, 400",➢ Admission up to 50 days
PRIMARY HEALTH CARE FUND,MEDICAL INPATIENT SERVICES,Level 3,itemized,Pre- admission evaluation.,,,2.0,Admission up to 50 days,,"PPM: Per- Diem Level 3 - KES. 2, 400",➢ Admission up to 50 days
PRIMARY HEALTH CARE FUND,MEDICAL INPATIENT SERVICES,Level 3,itemized,"Hospital accommodation charges, meals and nursing care in general ward bed.",,,2.0,,,"PPM: Per- Diem Level 3 - KES. 2, 400",➢ Admission up to 50 days
PRIMARY HEALTH CARE FUND,MEDICAL INPATIENT SERVICES,Level 3,itemized,"Intra- admission consultation and review sbyboth general and special ist consultants, Laboratory investigations, medical imaging, procedures, and medication.",,,2.0,,,"PPM: Per- Diem Level 3 - KES. 2, 400",➢ Admission up to 50 days
PRIMARY HEALTH CARE FUND,MEDICAL INPATIENT SERVICES,Level 3,itemized,"Bed side services including physio the rapy, occupational therapy, oxygen supply, medical consumables, and the rape utic nutritional support.",,,2.0,,,"PPM: Per- Diem Level 3 - KES. 2, 400",➢ Admission up to 50 days
PRIMARY HEALTH CARE FUND,MEDICAL INPATIENT SERVICES,Level 3,itemized,"Cross- match ing and administration of blood and blood products; derivatives and components, artificial blood products, and biological serum.",,,2.0,,,"PPM: Per- Diem Level 3 - KES. 2, 400",➢ Admission up to 50 days
PRIMARY HEALTH CARE FUND,MEDICAL INPATIENT SERVICES,Level 3,itemized,Post - dis charge med icatio nor follow - up within the treatment plan.,,,2.0,,,"PPM: Per- Diem Level 3 - KES. 2, 400",➢ Admission up to 50 days
SOCIAL HEALTH INSURANCE FUND,OUT PATIENT CARE SERVICES,Level 4 - 6,block,"Health education and wellness, counselling, and ongoing support as needed; Consultation, diagnosis, and treatment.; Pre scri bed laboratory investigations.; Basic radiological examinations including X-rays, ultrasounds.; Prescription, drug administration and dispensing",,,2.0,,"Limit: 4 Visits per year per person; ARVs, anti mal ari als, anti TBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith based & private facilities that report to the health information system.","➢ KES 2, 000 ➢ PPM: Fee for Service – Fixed Fee ➢ ARVs, HIV testing and follow up tests, family plan ning commodities, anti- malarial medication and testing, anti TBs and testing, KEPI vaccines, as provided in the guide lines,","➢ Limit: 4 Visits per year per person ➢ ARVs, anti mal ari als, anti TBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith based & private facilities that report to the health information system."
SOCIAL HEALTH INSURANCE FUND,OUT PATIENT CARE SERVICES,,block,"Management of acute and chronic conditions for end emic / local cases; Man age men tofNCDs, enteric infections; neglectedtropical diseases ( NTDs ), STI ’ sand HIV / AIDS; Screening for common health conditions; Minor surgical procedures and medical procedures; Immuniz atio nas per the KEPI schedule and recomm ended special vaccines; Reproductive, Maternal and Child Health Services as defined by the MOH guide lines",,,,,,will be offered at no cost to the patient.,
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Level 4 - 6,itemized,Inpatient services shall include management of disease / condition while admitted.,,,3.0,,Limit: Up to 50 days per Household; Days above that charged to ECCIF,"➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem",➢ Limit: Up to 50 days per Household ➢ Days above that charged to ECCIF
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Level 4 - 6,itemized,Pre- admission evaluation,,,3.0,,Limit: Up to 50 days per Household; Days above that charged to ECCIF,"➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem",➢ Limit: Up to 50 days per Household ➢ Days above that charged to ECCIF
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Level 4 - 6,itemized,"Hospital accommodation charges, meals and nursing care in general ward bed",,,3.0,,Limit: Up to 50 days per Household; Days above that charged to ECCIF,"➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem",➢ Limit: Up to 50 days per Household ➢ Days above that charged to ECCIF
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Level 4 - 6,itemized,"Int ra- admission consultation and review sbyboth general and special ist consultants, Laboratory investigations, medical imaging, procedures, and medication",,,3.0,,Limit: Up to 50 days per Household; Days above that charged to ECCIF,"➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem",➢ Limit: Up to 50 days per Household ➢ Days above that charged to ECCIF
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Level 4 - 6,itemized,"Bed side services including physio the rapy, occupational therapy, oxygen supply, medical consumables, and the rape utic nutritional support.",,,3.0,,Limit: Up to 50 days per Household; Days above that charged to ECCIF,"➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem",➢ Limit: Up to 50 days per Household ➢ Days above that charged to ECCIF
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Level 4 - 6,itemized,"Cross- match ing and administration of blood and blood products; derivatives and components, artificial blood products, and biological serum.",,,3.0,,Limit: Up to 50 days per Household; Days above that charged to ECCIF,"➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem",➢ Limit: Up to 50 days per Household ➢ Days above that charged to ECCIF
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Level 4 - 6,itemized,Post - dis charge med icatio nor follow - up within the treatment plan.,,,3.0,,Limit: Up to 50 days per Household; Days above that charged to ECCIF,"➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem",➢ Limit: Up to 50 days per Household ➢ Days above that charged to ECCIF
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4 - 6,itemized,"Delivery by ways of normal delivery, assisted delivery and caesarean section as necessitated.",Normal Delivery and essential newborn care – .,11.0,11.0,Normal delivery - maximum stay of 48 hours,"C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ); SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care – KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ) ➢ SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4 - 6,itemized,After care for the mother together with the newborn.,Caesarean Section and essential newborn care – .,32.0,11.0,,"C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ); SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care – KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ) ➢ SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4 - 6,itemized,"Midwifery, including episio tomy care and nursing care.",,,11.0,,"C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ); SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care – KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ) ➢ SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4 - 6,itemized,"Operating, recovery, maternity ward and other treatment room charges including meals and special diets.",,,11.0,,"C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ); SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care – KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ) ➢ SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4 - 6,itemized,Immunization for the newborn.,,,11.0,,"C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ); SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care – KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ) ➢ SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4 - 6,itemized,Intra- admission and post- discharge medication.,,,11.0,,"C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ); SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care – KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ) ➢ SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4 - 6,itemized,Diagnostic laboratory tests.,,,11.0,,"C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ); SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care – KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ) ➢ SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
