page,section,scope,access_point,tariff,access_rules
12,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,,,,"➢ MRI at 2 images per HH - limited to; Infective, oncology, neurological,; degenerative conditions, specific; obstetric conditions, cardiac/CVA; related cases and trauma cases.; Covers Prescribed specialized imaging ➢ CT scans - limited to Infective,; services including. oncology, neurological, degenerative; ➢ MRI ➢ MRI – KES 11,000 conditions, specific obstetric; ➢ CT scans ➢ CT scans – KES 9,600 conditions, cardiac/CVA-related; ➢ CT Angio ➢ All facilities with required ➢ CT Angio – KES 8,000 cases and trauma cases.; ➢ Fluoroscopy imaging services. ➢ Fluoroscopy – KES 4,000 ➢ CT scans and CT Angio – 2 images; ➢ Mammography ➢ Fluoroscopy, Mammography, ➢ Mammography – KES per household.; ➢ Specialized ultrasounds (Dopplers) Echocardiograms, 3,000 ➢ Fluoroscopy at 2 per household:; ➢ Echocardiograms (ECHO) Electroencephalograms ➢ Specialized ultrasounds Continuous x-rays used for guiding; ➢ Electroencephalograms (EEGs) (EEG), and specialized (Dopplers) – KES 5,000 angiographic and interventional; and ultrasounds (dopplers) to be ➢ Echocardiograms (ECHO) procedures, in contrast, examinations; ➢ Reviewing and interpreting purchased from GOK Level – KES 3,500 of the GI tract, and in the OR for; radiological images giving the IV-V hospitals. ➢ Electroencephalograms certain surgical procedures (e.g.; diagnostic opinion and providing (EEGs) – KES 5,000 for a orthopedic, Urological).; the referring physician with a child and KES 8,000 for ➢ Mammography at 2 per household; detailed report of the imaging adult. per year: X-ray imaging of the breasts; findings for treatment planning. for diagnosis of clinically detected or; screening-detected abnormalities.; ➢ Specialized ultrasounds at 2 per; household per year: For tendon; injuries (e.g. rotator cuff, Achilles; tendon), detection and; characterization of soft tissue masses"
13,PHARMACY PACKAGE,,,,"➢ Medicines for select chronic; conditions:; ➢ All public facility pharmacies; Diabetes type 1&2,; ➢ All faith-based facility; Hypertension, ➢ Quarterly limit of 5,000 per person as; pharmacies; Asthma, ➢ PPM- Fee for service captured in the chronic disease; ➢ Community pharmacies; Chronic renal disease on registry; individually or through a; dialysis; pharmacy benefits manager; Post transplant; immunosuppressants"
14,SPECIALIZED LABORATORY SERVICE,,,,"➢ Specialized testing as captured in; the essential laboratory lists and; WHO lists for the; chronic conditions:; Diabetes type 1&2,; Hypertension,; Asthma; Chronic renal disease on ➢ Class C, D and E public; ➢ Quarterly limit of 5,000 per person as; dialysis facility, faith based, and; ➢ PPM- Fee for service captured in the chronic disease; Post transplant contracted independent Class; registry; immunosuppression C, D and E laboratories; Chronic obstructive; pulmonary disease; Sickle cell; Oncology medicines; Anti-D; Anti Snake Venom; Anti Rabies"
15,END OF LIFE SERVICES,,,,"➢ Preparation and storage of the ➢ KES 500 per day; Level 4-6 ➢ Limit up to 5 days; body in a mortuary ➢ PPM: Per Diem; EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND"
15,AMBULANCE EVACUATION SERVICES,,,,"➢ PPM: Fee-for-service- fixed ➢ Accessible by all Kenyans; Evacuation from the point of the; Management of all rate - 25km radius- up to ➢ Procurement of the ground; incident to the nearest facility with an; transfers/evacuations through a KES 4,500 (Intra-metro). evacuation services, as an outsourced; A&E center and the transfer of patients; National Ambulance Call Centre ➢ A cost per km tariff for service to a provider/consortium of; requiring emergency and further clinical; services beyond 25 km, KES providers able to meet the criteria set; care from the facility.; 75 per km (Extra-metro) for at least one region."
15,ACCIDENT & EMERGENCY SERVICES,,,,"This cover includes resuscitation and ➢ PPM: Fee for service up to ➢ Resuscitation and stabilization to be; stabilization due to: indicated limits. accessed from level 2-6 by all; ➢ Cardiac and pulmonary arrest ➢ Cardiac and pulmonary residents in Kenya.; ➢ Major trauma (severe burns, head arrest – KES 5015 for ➢ Care for up to a maximum of 24; injuries, severe wounds, multiple investigations and KES hours after which the SHIF is; fractures) 97,900 for management. activated for paid up members.; Level 2-6; ➢ Shock states (Haemorrhagic, ➢ Major trauma (severe ➢ The amounts provided are the; septic, dehydration) burns, head injuries, severe maximum reimbursable tariffs. The; ➢ Altered level of consciousness wounds, multiple Authority shall reimburse the hospital; (unconsciousness, confusion) fractures) – KES 13,614 bill amount to the maximum tariffs; Severe respiratory distress for investigations and KES provided.; ➢ Seizures 79,549 for management."
17,CRITICAL ILLNESS PACKAGE,,,,"This will cater for Critical care ICU – KES 35,000 ➢ ICU up to 14 days; admissions in Intensive Care Unit HDU – KES 10,000 ➢ HDU up to 10 days; (ICU), High Dependency Unit (HDU), Level 4-6 ➢ Co-payment for amounts above daily; include NICU, PICU, Burns Unit PPM: Per diem rate per diem rate"
17,PALLIATIVE CARE SERVICES,,,,"This benefit aims at enhancing the; quality of life for patients with serious ➢ Up to 60 days; KES. 5,000; chronic or life-threatening illnesses ➢ Co-payment for amounts above daily; Level 4-6; which includes symptom management, per diem rate; PPM: Per diem rate; psychosocial support, caregiver; support and end-of-life care."
17,CHRONIC ILLNESSES,,,,"➢ Longitudinal management of; chronic conditions and diseases; beyond the SHIF limit for diabetes; mellitus and its complications,; hypertension, cardiovascular; conditions, asthma, COPD, sickle; Same tariff and PPMs applied ➢ Must be a paid up SHIF member.; cell disease, dialysis, pre-transplant Level 4-6; under SHIF; evaluation, immunosuppressive; therapy post renal transplant,; ➢ Management of cancers beyond the; SHIF limit; ➢ Management of mental,; neurodevelopmental, affective,"
18,ASSISTIVE DEVICES,,,,"➢ Medical devices will only be issued; to persons with permanent disability; recognized by the National Council; for Persons with Disability; ➢ One device per household per year,; Provision of assistive devices to ➢ Hearing aids – KES. 55,000; except for therapeutic footwear,; support patients with permanent ➢ Crutches – KES. 900; which has a limit of two per; physical and/or sensory disabilities and ➢ Clubfoot brace – KES.; household per year.; progressive chronic conditions such as Level 4-6 1,000; ➢ Hearing Aids are limited to; Parkinson’s Disease and multiple ➢ Walking frames – KES. 500; individuals aged 18 years and below; sclerosis. ➢ Therapeutic footwear –; and will only be issued once per; KES. 1,000; lifetime.; ➢ Devices required due to temporary; inability or immobility will be; factored in the surgical package."
