fund,service,scope_item,access_point,item_label,item_tariff,block_tariff,item_rules,block_rules,mapping_type
PRIMARY HEALTHCARE FUND,OUTPATIENT CARE SERVICES,ImmunizationaspertheKEPI scheduleandrecommended special vaccines.,,,,,[],['based & private facilities that report to the health information system.'],block
PRIMARY HEALTHCARE FUND,OUTPATIENT CARE SERVICES,"Reproductive, Maternal and Child Health Services as defined by the MOH guidelines",,,,,[],['based & private facilities that report to the health information system.'],block
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Ante-natal care, delivery by ways of normal delivery, assisted delivery andcaesareansectionas necessitated.",Level 2-3,Normal Delivery – .,11.0,11.0,['Normal delivery - maximum stay of 48 hours'],"['C-section - maximum stay of 72 hours', 'Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.', 'PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant.', 'Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes']",itemized
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Aftercare for the mother together with the newborn,Level 2-3,,,11.0,[],"['C-section - maximum stay of 72 hours', 'Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.', 'PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant.', 'Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes']",itemized
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Midwifery, includingepisiotomy care and nursing care.",Level 2-3,,,11.0,[],"['C-section - maximum stay of 72 hours', 'Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.', 'PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant.', 'Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes']",itemized
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Operating, recovery, maternity wardandothertreatmentroom charges including meals and special diets.",Level 2-3,,,11.0,[],"['C-section - maximum stay of 72 hours', 'Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.', 'PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant.', 'Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes']",itemized
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Immunisation for the newborn.,Level 2-3,,,11.0,[],"['C-section - maximum stay of 72 hours', 'Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.', 'PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant.', 'Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes']",itemized
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","VitaminKfornewborn, chlorhexidine administration.",Level 2-3,,,11.0,[],"['C-section - maximum stay of 72 hours', 'Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.', 'PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant.', 'Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes']",itemized
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Provision of warmth and newborn resuscitation,Level 2-3,,,11.0,[],"['C-section - maximum stay of 72 hours', 'Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.', 'PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant.', 'Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes']",itemized
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Intra-admissionandpost- discharge medication.,,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANCandPNCserviceswillbe covered under the outpatient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limitedtosepsis, jaundice, prematurity, necrotising enterocolitis, atdailyrebateratesforinpatient services.']",block
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Diagnostic laboratory tests,,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANCandPNCserviceswillbe covered under the outpatient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limitedtosepsis, jaundice, prematurity, necrotising enterocolitis, atdailyrebateratesforinpatient services.']",block
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Administration of blood and blood products; derivativesand components, artificialblood products, and biological serum",,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANCandPNCserviceswillbe covered under the outpatient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limitedtosepsis, jaundice, prematurity, necrotising enterocolitis, atdailyrebateratesforinpatient services.']",block
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Medical supplies andequipment, including oxygen.",,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANCandPNCserviceswillbe covered under the outpatient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limitedtosepsis, jaundice, prematurity, necrotising enterocolitis, atdailyrebateratesforinpatient services.']",block
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Postnatal family planning.,,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANCandPNCserviceswillbe covered under the outpatient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limitedtosepsis, jaundice, prematurity, necrotising enterocolitis, atdailyrebateratesforinpatient services.']",block
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Managementofpostpartum infections and haemorrhage, birth traumas and conditions related to childbirth.",,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANCandPNCserviceswillbe covered under the outpatient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limitedtosepsis, jaundice, prematurity, necrotising enterocolitis, atdailyrebateratesforinpatient services.']",block
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Managementofneonatal conditions.,,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANCandPNCserviceswillbe covered under the outpatient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limitedtosepsis, jaundice, prematurity, necrotising enterocolitis, atdailyrebateratesforinpatient services.']",block
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Obstetricandneonatal complicationsincludingintra- admissionpostpartum / postnatal infections and haemorrhage, birth traumas and conditions related to childbirth.",,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANCandPNCserviceswillbe covered under the outpatient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limitedtosepsis, jaundice, prematurity, necrotising enterocolitis, atdailyrebateratesforinpatient services.']",block
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Anti-D Serum for Rhesus-negative mothers. SCREENING & MANAGEMENT OF PRE-CANCEROUS LESIONS,,,,,[],"['effect. All claims in this category will have to undergo surveillance.', 'ANCandPNCserviceswillbe covered under the outpatient at the PHC level.', 'Management of complications for the newborn will be charged separately from the mother including but not limitedtosepsis, jaundice, prematurity, necrotising enterocolitis, atdailyrebateratesforinpatient services.']",block
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Screening for common cancers (breast, cervix, prostate, and colon)",Level 2-6 with capacity,,,3.0,[],"['Prostate cancer screening will only be covered in males over 55 years.', 'Colon cancer screening will only be covered in males over 40 years.']",itemized
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",,,,,3.0,[],"['Screening for cervical cancer will only be covered in women between 30-50 years', 'HPV screening for females aged 35 and 45 years.']",block
PRIMARY HEALTHCARE FUND,OPTICAL HEALTH SERVICES,"Services covered include consultation and diagnosis, preventive, restorative, and treatment services as necessary:",Level 2-3,,,935.0,[],"['Limit: KES. 1, 000 per Household', 'Pre-authorized service.', 'Limited to beneficiaries below 18 years.']",itemized
PRIMARY HEALTHCARE FUND,OPTICAL HEALTH SERVICES,Eye health education and counselling.,Level 2-3,,,935.0,[],"['Limit: KES. 1, 000 per Household', 'Pre-authorized service.', 'Limited to beneficiaries below 18 years.']",itemized
PRIMARY HEALTHCARE FUND,OPTICAL HEALTH SERVICES,"Eye tests including fundoscopy, visual acuity testing, visual field analysis.",Level 2-3,,,935.0,[],"['Limit: KES. 1, 000 per Household', 'Pre-authorized service.', 'Limited to beneficiaries below 18 years.']",itemized
PRIMARY HEALTHCARE FUND,OPTICAL HEALTH SERVICES,Treatment of refractive errors through eyeglasses.,Level 2-3,,,935.0,['Replacement of eyeglasses only after every two years if indicated.'],"['Limit: KES. 1, 000 per Household', 'Pre-authorized service.', 'Limited to beneficiaries below 18 years.']",itemized
PRIMARY HEALTHCARE FUND,END OF LIFE SERVICES,Preparation and storage of the body in a mortuary,Where available,,,500.0,[],['Limit up to 5 days'],block
PRIMARY HEALTHCARE FUND,END OF LIFE SERVICES,Preservation and storage of the body in a mortuary.,Where available,,,500.0,[],['Limit up to 5 days'],block
PRIMARY HEALTHCARE FUND,MEDICAL INPATIENT SERVICES,Inpatient services shall include management of disease / condition while admitted.,Level 3,,,2.0,[],[],itemized
PRIMARY HEALTHCARE FUND,MEDICAL INPATIENT SERVICES,Pre-admission evaluation.,Level 3,,,2.0,['Admission up to 50 days'],[],itemized
PRIMARY HEALTHCARE FUND,MEDICAL INPATIENT SERVICES,"Hospital accommodation charges, meals and nursing care in a general ward bed.",Level 3,,,2.0,[],[],itemized
PRIMARY HEALTHCARE FUND,MEDICAL INPATIENT SERVICES,"Intra-admissionconsultationand reviewsbybothgeneraland specialistconsultants, Laboratory investigations, medicalimaging, procedures, and medication.",Level 3,,,2.0,[],[],itemized
PRIMARY HEALTHCARE FUND,MEDICAL INPATIENT SERVICES,"Bedsideservicesincluding physiotherapy, occupational therapy, oxygensupply, medical consumables, andtherapeutic nutritional support.",Level 3,,,2.0,[],[],itemized
PRIMARY HEALTHCARE FUND,MEDICAL INPATIENT SERVICES,"Cross-matchingand administration of blood and blood products; derivativesand components, artificialblood products, and biological serum.",Level 3,,,2.0,[],[],itemized
PRIMARY HEALTHCARE FUND,MEDICAL INPATIENT SERVICES,Post-dischargemedicationor follow-upwithinthetreatment plan.,Level 3,,,2.0,[],[],itemized
SOCIAL HEALTH INSURANCE FUND,OUTPATIENT CARE SERVICES,"Health education and wellness, counselling, and ongoing support as needed",Level 4-6,,,2.0,[],"['Limit: 4 Visits per year per person', 'ARVs, anti-malarials, anti TBs, and associated tests, family planning commodities, KEPI vaccines will be provided at public facilities, and faith based & private facilities that report to the health information system.']",block
SOCIAL HEALTH INSURANCE FUND,OUTPATIENT CARE SERVICES,"Consultation, diagnosis, and treatment.",Level 4-6,,,2.0,[],"['Limit: 4 Visits per year per person', 'ARVs, anti-malarials, anti TBs, and associated tests, family planning commodities, KEPI vaccines will be provided at public facilities, and faith based & private facilities that report to the health information system.']",block
SOCIAL HEALTH INSURANCE FUND,OUTPATIENT CARE SERVICES,Prescribed laboratory investigations.,Level 4-6,,,2.0,[],"['Limit: 4 Visits per year per person', 'ARVs, anti-malarials, anti TBs, and associated tests, family planning commodities, KEPI vaccines will be provided at public facilities, and faith based & private facilities that report to the health information system.']",block
SOCIAL HEALTH INSURANCE FUND,OUTPATIENT CARE SERVICES,"Basic radiologicalexaminations including X-rays, ultrasounds.",Level 4-6,,,2.0,[],"['Limit: 4 Visits per year per person', 'ARVs, anti-malarials, anti TBs, and associated tests, family planning commodities, KEPI vaccines will be provided at public facilities, and faith based & private facilities that report to the health information system.']",block
SOCIAL HEALTH INSURANCE FUND,OUTPATIENT CARE SERVICES,"Prescription, drug administration and dispensing",Level 4-6,,,2.0,[],"['Limit: 4 Visits per year per person', 'ARVs, anti-malarials, anti TBs, and associated tests, family planning commodities, KEPI vaccines will be provided at public facilities, and faith based & private facilities that report to the health information system.']",block
SOCIAL HEALTH INSURANCE FUND,OUTPATIENT CARE SERVICES,Management of acute and chronic conditionsforendemic / local cases,,,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,OUTPATIENT CARE SERVICES,"Management of NCDs, enteric infections; neglected tropical diseases(NTDs), STI’sand HIV / AIDS",,,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,OUTPATIENT CARE SERVICES,Screeningforcommonhealth conditions,,,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,OUTPATIENT CARE SERVICES,Minorsurgicalproceduresand medical procedures,,,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,OUTPATIENT CARE SERVICES,ImmunizationaspertheKEPI scheduleandrecommended special vaccines,,,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,OUTPATIENT CARE SERVICES,"Reproductive, Maternal and Child Health Services as defined by the MOH guidelines",,,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Inpatient services shall include management of disease / condition while admitted.,Level 4-6,,,3.0,[],"['Limit: Up to 50 days per Household', 'Days above that charged to ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Pre-admission evaluation,Level 4-6,,,3.0,[],"['Limit: Up to 50 days per Household', 'Days above that charged to ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,"Hospital accommodation charges, meals and nursing care in a general ward bed",Level 4-6,,,3.0,[],"['Limit: Up to 50 days per Household', 'Days above that charged to ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,"Intra-admission consultation and reviewsbybothgeneraland specialist consultants, Laboratory investigations, medicalimaging, procedures, and medication",Level 4-6,,,3.0,[],"['Limit: Up to 50 days per Household', 'Days above that charged to ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,"Bedsideservicesincluding physiotherapy, occupational therapy, oxygensupply, medical consumables, andtherapeutic nutritional support.",Level 4-6,,,3.0,[],"['Limit: Up to 50 days per Household', 'Days above that charged to ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,"Cross-matchingand administration of blood and blood products; derivativesand components, artificialblood products, and biological serum.",Level 4-6,,,3.0,[],"['Limit: Up to 50 days per Household', 'Days above that charged to ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Post-dischargemedicationor follow-upwithinthetreatment plan.,Level 4-6,,,3.0,[],"['Limit: Up to 50 days per Household', 'Days above that charged to ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES","Delivery by ways of normal delivery, assisted delivery and caesarean section as necessitated.",Level 4-6,Normal Delivery and essential newborn care– .,11.0,11.0,"['Normal delivery - maximum stay of 48 hours', 'C-section-maximumstayof72 hours(includingpregnancy emergencies such as Tranexamic acid and magnesium sulphate)']","['SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Aftercare for the mother together with the newborn.,Level 4-6,,,11.0,[],"['SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES","Midwifery, includingepisiotomy care and nursing care.",Level 4-6,Caesarean Section and essential newborn care – .,32.0,11.0,[],"['SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES","Operating, recovery, maternity ward and other treatment room chargesincludingmealsand special diets.",Level 4-6,,,11.0,[],"['SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Immunization for the newborn.,Level 4-6,,,11.0,[],"['SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Intra-admissionandpost- discharge medication.,Level 4-6,,,11.0,[],"['SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Diagnostic laboratory tests.,Level 4-6,,,11.0,[],"['SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES","Administrationofbloodand bloodproducts; derivativesand components, artificialblood products, and biological serum.",Level 4-6,,,11.0,[],"['SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES","Medical supplies and equipment, including oxygen.",Level 4-6,,,11.0,[],"['SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Postnatal family planning.,Level 4-6,,,11.0,[],"['SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES","Managementofpostpartum infections and haemorrhage, birth traumas and conditions related to childbirth.",Level 4-6,,,11.0,[],"['SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Managementofneonatal conditions.,Level 4-6,,,11.0,[],"['SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES","Obstetricandneonatal complicationsincludingintra- admissionpostpartum / postnatal infections and haemorrhage, birth traumas and conditions related to childbirth.",Level 4-6,,,11.0,[],"['SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.', 'In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,The management of kidney failure due tochronicdiseaseoracute injuries / diseasesthroughdialysis including:,Level 4-6,,,10.0,[],"['Maximum of 3 sessions per week for haemodialysis.', 'Maximum of 2 sessions per week for hemodiafiltration.', 'Maximum of 12 sessions annually for peritoneal dialysis.', 'Payments will be made from the SHIF and ECCIF Funds.']",itemized
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Consultationandspecialist's review.,Level 4-6,,,10.0,[],"['Maximum of 3 sessions per week for haemodialysis.', 'Maximum of 2 sessions per week for hemodiafiltration.', 'Maximum of 12 sessions annually for peritoneal dialysis.', 'Payments will be made from the SHIF and ECCIF Funds.']",itemized
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Costofthetemporarycatheter and insertion / removal.,Level 4-6,,,10.0,[],"['Maximum of 3 sessions per week for haemodialysis.', 'Maximum of 2 sessions per week for hemodiafiltration.', 'Maximum of 12 sessions annually for peritoneal dialysis.', 'Payments will be made from the SHIF and ECCIF Funds.']",itemized
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Nursing care and dialysis services.,Level 4-6,Peritoneal dialysis – .,180.0,10.0,['AccessibleinLevelIV-VIfacilities with dialysis centres and access to an ambulance and ICU services within a 10km radius.'],"['Maximum of 3 sessions per week for haemodialysis.', 'Maximum of 2 sessions per week for hemodiafiltration.', 'Maximum of 12 sessions annually for peritoneal dialysis.', 'Payments will be made from the SHIF and ECCIF Funds.']",itemized
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Routine laboratory investigations.,Level 4-6,,,10.0,[],"['Maximum of 3 sessions per week for haemodialysis.', 'Maximum of 2 sessions per week for hemodiafiltration.', 'Maximum of 12 sessions annually for peritoneal dialysis.', 'Payments will be made from the SHIF and ECCIF Funds.']",itemized
