fund,service,access_point,mapping_type,scope_item,item_label,item_tariff,block_tariff,item_rules,block_rules,tariff_raw,access_rules_raw
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Level 2-6 with capacity,itemized,"Screening for common cancers (breast, cervix, prostate, and colon)",,,3.0,,Prostate cancer screening will only be covered in males over 55 years.; Colon cancer screening will only be covered in males over 40 years.,"➢ HPV – KES. 3, 600 ➢ PSA – KES. 1, 500 ➢ Stool for occult blood – KES. 400 ➢ Cryotherapy – KES. 3, 000",➢ Prostate cancer screening will only be covered in males over 55 years. ➢ Colon cancer screening will only be covered in males over 40 years.
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",,block,,,,3.0,,Screening for cervical cancer will only be covered in women between 30-50 years; HPV screening for females aged 35 and 45 years.,"➢ Thermal Ablation – KES. 3, 000 ➢ LEEP – KES. 2, 800",➢ Screening for cervical cancer will only be covered in women between 30-50 years ➢ HPV screening for females aged 35 and 45 years.
PRIMARY HEALTHCARE FUND,OPTICAL HEALTH SERVICES,Level 2-3,itemized,"Services covered include consultation and diagnosis, preventive, restorative, and treatment services as necessary:",,,935.0,,"Limit: KES. 1, 000 per Household; Pre-authorized service.; Limited to beneficiaries below 18 years.",KES. 935 for Consultation and dispensing of eyeglasses.,"➢Limit: KES. 1, 000 per Household ➢Pre-authorized service. ➢Limited to beneficiaries below 18 years. ➢Replacement of eyeglasses only after every two years if indicated."
PRIMARY HEALTHCARE FUND,OPTICAL HEALTH SERVICES,Level 2-3,itemized,Eye health education and counselling.,,,935.0,,"Limit: KES. 1, 000 per Household; Pre-authorized service.; Limited to beneficiaries below 18 years.",KES. 935 for Consultation and dispensing of eyeglasses.,"➢Limit: KES. 1, 000 per Household ➢Pre-authorized service. ➢Limited to beneficiaries below 18 years. ➢Replacement of eyeglasses only after every two years if indicated."
PRIMARY HEALTHCARE FUND,OPTICAL HEALTH SERVICES,Level 2-3,itemized,"Eye tests including fundoscopy, visual acuity testing, visual field analysis.",,,935.0,,"Limit: KES. 1, 000 per Household; Pre-authorized service.; Limited to beneficiaries below 18 years.",KES. 935 for Consultation and dispensing of eyeglasses.,"➢Limit: KES. 1, 000 per Household ➢Pre-authorized service. ➢Limited to beneficiaries below 18 years. ➢Replacement of eyeglasses only after every two years if indicated."
PRIMARY HEALTHCARE FUND,OPTICAL HEALTH SERVICES,Level 2-3,itemized,Treatment of refractive errors through eyeglasses.,,,935.0,Replacement of eyeglasses only after every two years if indicated.,"Limit: KES. 1, 000 per Household; Pre-authorized service.; Limited to beneficiaries below 18 years.",KES. 935 for Consultation and dispensing of eyeglasses.,"➢Limit: KES. 1, 000 per Household ➢Pre-authorized service. ➢Limited to beneficiaries below 18 years. ➢Replacement of eyeglasses only after every two years if indicated."
PRIMARY HEALTHCARE FUND,END OF LIFE SERVICES,Where available,block,Preparation and storage of the body in a mortuary; Preservation and storage of the body in a mortuary.,,,500.0,,Limit up to 5 days,➢ KES 500 per day ➢ PPM: Per Diem,➢ Limit up to 5 days
PRIMARY HEALTHCARE FUND,MEDICAL INPATIENT SERVICES,Level 3,itemized,Inpatient services shall include management of disease / condition while admitted.,,,2.0,,,"PPM: Per-Diem Level 3 - KES. 2, 400",➢ Admission up to 50 days
PRIMARY HEALTHCARE FUND,MEDICAL INPATIENT SERVICES,Level 3,itemized,Pre-admission evaluation.,,,2.0,Admission up to 50 days,,"PPM: Per-Diem Level 3 - KES. 2, 400",➢ Admission up to 50 days
PRIMARY HEALTHCARE FUND,MEDICAL INPATIENT SERVICES,Level 3,itemized,"Hospital accommodation charges, meals and nursing care in a general ward bed.",,,2.0,,,"PPM: Per-Diem Level 3 - KES. 2, 400",➢ Admission up to 50 days
PRIMARY HEALTHCARE FUND,MEDICAL INPATIENT SERVICES,Level 3,itemized,"Intra-admissionconsultationand reviewsbybothgeneraland specialistconsultants, Laboratory investigations, medicalimaging, procedures, and medication.",,,2.0,,,"PPM: Per-Diem Level 3 - KES. 2, 400",➢ Admission up to 50 days
PRIMARY HEALTHCARE FUND,MEDICAL INPATIENT SERVICES,Level 3,itemized,"Bedsideservicesincluding physiotherapy, occupational therapy, oxygensupply, medical consumables, andtherapeutic nutritional support.",,,2.0,,,"PPM: Per-Diem Level 3 - KES. 2, 400",➢ Admission up to 50 days
PRIMARY HEALTHCARE FUND,MEDICAL INPATIENT SERVICES,Level 3,itemized,"Cross-matchingand administration of blood and blood products; derivativesand components, artificialblood products, and biological serum.",,,2.0,,,"PPM: Per-Diem Level 3 - KES. 2, 400",➢ Admission up to 50 days
PRIMARY HEALTHCARE FUND,MEDICAL INPATIENT SERVICES,Level 3,itemized,Post-dischargemedicationor follow-upwithinthetreatment plan.,,,2.0,,,"PPM: Per-Diem Level 3 - KES. 2, 400",➢ Admission up to 50 days
SOCIAL HEALTH INSURANCE FUND,OUTPATIENT CARE SERVICES,Level 4-6,block,"Health education and wellness, counselling, and ongoing support as needed; Consultation, diagnosis, and treatment.; Prescribed laboratory investigations.; Basic radiologicalexaminations including X-rays, ultrasounds.; Prescription, drug administration and dispensing",,,2.0,,"Limit: 4 Visits per year per person; ARVs, anti-malarials, anti TBs, and associated tests, family planning commodities, KEPI vaccines will be provided at public facilities, and faith based & private facilities that report to the health information system.","➢ KES 2, 000 ➢ PPM: Fee for Service – Fixed Fee ➢ ARVs, HIV testing and follow up tests, family planning commodities, anti- malarial medication and testing, anti TBs and testing, KEPI vaccines, as provided in the guidelines,","➢ Limit: 4 Visits per year per person ➢ ARVs, anti-malarials, anti TBs, and associated tests, family planning commodities, KEPI vaccines will be provided at public facilities, and faith based & private facilities that report to the health information system."
SOCIAL HEALTH INSURANCE FUND,OUTPATIENT CARE SERVICES,,block,"Management of acute and chronic conditionsforendemic / local cases; Management of NCDs, enteric infections; neglected tropical diseases(NTDs), STI’sand HIV / AIDS; Screeningforcommonhealth conditions; Minorsurgicalproceduresand medical procedures; ImmunizationaspertheKEPI scheduleandrecommended special vaccines; Reproductive, Maternal and Child Health Services as defined by the MOH guidelines",,,,,,will be offered at no cost to the patient.,
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Level 4-6,itemized,Inpatient services shall include management of disease / condition while admitted.,,,3.0,,Limit: Up to 50 days per Household; Days above that charged to ECCIF,"➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem",➢ Limit: Up to 50 days per Household ➢ Days above that charged to ECCIF
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Level 4-6,itemized,Pre-admission evaluation,,,3.0,,Limit: Up to 50 days per Household; Days above that charged to ECCIF,"➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem",➢ Limit: Up to 50 days per Household ➢ Days above that charged to ECCIF
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Level 4-6,itemized,"Hospital accommodation charges, meals and nursing care in a general ward bed",,,3.0,,Limit: Up to 50 days per Household; Days above that charged to ECCIF,"➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem",➢ Limit: Up to 50 days per Household ➢ Days above that charged to ECCIF
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Level 4-6,itemized,"Intra-admission consultation and reviewsbybothgeneraland specialist consultants, Laboratory investigations, medicalimaging, procedures, and medication",,,3.0,,Limit: Up to 50 days per Household; Days above that charged to ECCIF,"➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem",➢ Limit: Up to 50 days per Household ➢ Days above that charged to ECCIF
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Level 4-6,itemized,"Bedsideservicesincluding physiotherapy, occupational therapy, oxygensupply, medical consumables, andtherapeutic nutritional support.",,,3.0,,Limit: Up to 50 days per Household; Days above that charged to ECCIF,"➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem",➢ Limit: Up to 50 days per Household ➢ Days above that charged to ECCIF
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Level 4-6,itemized,"Cross-matchingand administration of blood and blood products; derivativesand components, artificialblood products, and biological serum.",,,3.0,,Limit: Up to 50 days per Household; Days above that charged to ECCIF,"➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem",➢ Limit: Up to 50 days per Household ➢ Days above that charged to ECCIF
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Level 4-6,itemized,Post-dischargemedicationor follow-upwithinthetreatment plan.,,,3.0,,Limit: Up to 50 days per Household; Days above that charged to ECCIF,"➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem",➢ Limit: Up to 50 days per Household ➢ Days above that charged to ECCIF
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4-6,itemized,"Delivery by ways of normal delivery, assisted delivery and caesarean section as necessitated.",Normal Delivery and essential newborn care– .,11.0,11.0,Normal delivery - maximum stay of 48 hours; C-section-maximumstayof72 hours(includingpregnancy emergencies such as Tranexamic acid and magnesium sulphate),"SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care– KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section-maximumstayof72 hours(includingpregnancy emergencies such as Tranexamic acid and magnesium sulphate) ➢ SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4-6,itemized,Aftercare for the mother together with the newborn.,,,11.0,,"SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care– KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section-maximumstayof72 hours(includingpregnancy emergencies such as Tranexamic acid and magnesium sulphate) ➢ SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4-6,itemized,"Midwifery, includingepisiotomy care and nursing care.",Caesarean Section and essential newborn care – .,32.0,11.0,,"SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care– KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section-maximumstayof72 hours(includingpregnancy emergencies such as Tranexamic acid and magnesium sulphate) ➢ SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4-6,itemized,"Operating, recovery, maternity ward and other treatment room chargesincludingmealsand special diets.",,,11.0,,"SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care– KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section-maximumstayof72 hours(includingpregnancy emergencies such as Tranexamic acid and magnesium sulphate) ➢ SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4-6,itemized,Immunization for the newborn.,,,11.0,,"SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care– KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section-maximumstayof72 hours(includingpregnancy emergencies such as Tranexamic acid and magnesium sulphate) ➢ SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4-6,itemized,Intra-admissionandpost- discharge medication.,,,11.0,,"SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care– KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section-maximumstayof72 hours(includingpregnancy emergencies such as Tranexamic acid and magnesium sulphate) ➢ SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4-6,itemized,Diagnostic laboratory tests.,,,11.0,,"SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care– KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section-maximumstayof72 hours(includingpregnancy emergencies such as Tranexamic acid and magnesium sulphate) ➢ SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4-6,itemized,"Administrationofbloodand bloodproducts; derivativesand components, artificialblood products, and biological serum.",,,11.0,,"SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care– KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section-maximumstayof72 hours(includingpregnancy emergencies such as Tranexamic acid and magnesium sulphate) ➢ SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
