service,service_key,category,tariff,tariff_unit,coverage_status,facility_level,facility_levels,exclusion,coverage_condition,limits,source_page,evidence_snippet,raw_text,source_type,confidence,is_free_service
infections; neglected tropical,infections neglected tropical,OTHER,,,included,,[],,,{},1,infections; neglected tropical,infections; neglected tropical,enhanced_text,LOW,False
Access Point,access point,OTHER,,,included,,[],,,{},1,Scope Access Point Tariff Access Rules,Scope Access Point Tariff Access Rules,enhanced_table_0_row_2,MEDIUM,
"Health education and wellness,
counselling, and ongoing support as
needed.
➢ Consultation, diagnosis, and
treatment
➢ Prescribed laboratory
investigations
➢ Basic radiological examinations
including X",health education and wellness counselling and ongoing support as needed consultation diagnosis and treatment prescribed laboratory investigations basic radiological examinations including x rays ultrasounds prescription drug administration and dispensing management of acute and chronic conditions for endemic local cases management of ncds enteric infections neglected tropical,IMAGING,900.0,quarterly,included,Level 2,"[1, 2, 3, 4]",,,{},1,"Health education and wellness, counselling, and ongoing support as needed. ➢ Consultation, diagnosis, and treatment ➢ Prescribed laboratory investigations ➢ Basic radiological examinations includin...","Health education and wellness,
counselling, and ongoing support as
needed.
➢ Consultation, diagnosis, and
treatment
➢ Prescribed laboratory
investigations
➢ Basic radiological examinations
including X-rays, ultrasounds.
➢ Prescription, drug administration
and dispensing
➢ Management of acute and chronic
conditions for endemic/local cases
➢ Management of NCDs, enteric
infections; neglected tropical LEVEL 2, 3 and level 4 primary
health care referral facility
designated by the Authority ➢ KES 900 ",enhanced_table_0_row_3,HIGH,
➢ Screening for common health,screening for common health,OTHER,,,included,,[],,,{},2,➢ Screening for common health,➢ Screening for common health,enhanced_text,LOW,False
➢ Immunization as per the KEPI,immunization as per the kepi,OTHER,,,included,,[],,,{},2,➢ Immunization as per the KEPI,➢ Immunization as per the KEPI,enhanced_text,LOW,False
special vaccines.,special vaccines,OTHER,,,included,,[],,,{},2,special vaccines.,special vaccines.,enhanced_text,LOW,False
"➢ Reproductive, Maternal and Child",reproductive maternal and child,OTHER,,,included,,[],,,{},2,"➢ Reproductive, Maternal and Child","➢ Reproductive, Maternal and Child",enhanced_text,LOW,False
Health Services as defined by the,health services as defined by the,OTHER,,,included,,[],,,{},2,Health Services as defined by the,Health Services as defined by the,enhanced_text,LOW,False
"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",maternity newborn and child health services,MATERNITY,,,included,,[],,,{},2,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",enhanced_text,LOW,False
"➢ Ante-natal care, delivery by ways of",ante natal care delivery by ways of,MATERNITY,,,included,,[],,,{},2,"➢ Ante-natal care, delivery by ways of","➢ Ante-natal care, delivery by ways of",enhanced_text,LOW,False
➢ Normal delivery - maximum stay of,normal delivery maximum stay of,MATERNITY,,,included,,[],,,{},2,➢ Normal delivery - maximum stay of,➢ Normal delivery - maximum stay of,enhanced_text,LOW,False
"normal delivery, assisted delivery",normal delivery assisted delivery,MATERNITY,,,included,,[],,,{},2,"normal delivery, assisted delivery","normal delivery, assisted delivery",enhanced_text,LOW,False
and caesarean section as,and caesarean section as,MATERNITY,,,included,,[],,,{},2,and caesarean section as,and caesarean section as,enhanced_text,LOW,False
➢ C-section - maximum stay of 72 hours,c section maximum stay of 72 hours,MATERNITY,,,included,,[],,,{},2,➢ C-section - maximum stay of 72 hours,➢ C-section - maximum stay of 72 hours,enhanced_text,LOW,False
➢ Pregnancy emergency medicines such,pregnancy emergency medicines such,EMERGENCY,,,included,,[],,,{},2,➢ Pregnancy emergency medicines such,➢ Pregnancy emergency medicines such,enhanced_text,LOW,False
➢ Aftercare for the mother together,aftercare for the mother together,OTHER,,,included,,[],,,{},2,➢ Aftercare for the mother together,➢ Aftercare for the mother together,enhanced_text,LOW,False
➢ Normal Delivery – KES. sulphate are included.,normal delivery kes sulphate are included,MATERNITY,,,included,,[],,,{},2,➢ Normal Delivery – KES. sulphate are included.,➢ Normal Delivery – KES. sulphate are included.,enhanced_text,LOW,False
"11,200 ➢ PHC maternity benefits will be",11 200 phc maternity benefits will be,MATERNITY,,,included,,[],,,{},2,"11,200 ➢ PHC maternity benefits will be","11,200 ➢ PHC maternity benefits will be",enhanced_text,LOW,False
care and nursing care.,care and nursing care,OTHER,,,included,,[],,,{},2,care and nursing care.,care and nursing care.,enhanced_text,LOW,False
➢ Caesarean Section – KES. accessed by any Kenyan resident,caesarean section kes accessed by any kenyan resident,MATERNITY,,,included,,[],,,{},2,➢ Caesarean Section – KES. accessed by any Kenyan resident,➢ Caesarean Section – KES. accessed by any Kenyan resident,enhanced_text,LOW,False
"➢ Operating, recovery, maternity Level 2-3",operating recovery maternity level 2 3,MATERNITY,,,included,Level 2-3,"[2, 3]",,,{},2,"➢ Operating, recovery, maternity Level 2-3","➢ Operating, recovery, maternity Level 2-3",enhanced_text,LOW,False
ward and other treatment room,ward and other treatment room,OTHER,,,included,,[],,,{},2,ward and other treatment room,ward and other treatment room,enhanced_text,LOW,False
"diseases (NTDs), STI’s and
HIV/AIDS
➢ Screening for common health
conditions
➢ Minor surgical procedures and
medical procedures including male
circumcision.
➢ Immunization as per the KEPI
schedule and",diseases ntds sti s and hiv aids screening for common health conditions minor surgical procedures and medical procedures including male circumcision immunization as per the kepi schedule and recommended special vaccines reproductive maternal and child health services as defined by the moh guidelines,SURGERY,,,included,,[],,,{},2,"diseases (NTDs), STI’s and HIV/AIDS ➢ Screening for common health conditions ➢ Minor surgical procedures and medical procedures including male circumcision. ➢ Immunization as per the KEPI schedule ...","diseases (NTDs), STI’s and
HIV/AIDS
➢ Screening for common health
conditions
➢ Minor surgical procedures and
medical procedures including male
circumcision.
➢ Immunization as per the KEPI
schedule and recommended
special vaccines.
➢ Reproductive, Maternal and Child
Health Services as defined by the
MOH guidelines based & private facilities that report
to the health information system.",enhanced_table_0_row_0,MEDIUM,
"➢ Ante-natal care, delivery by ways of
normal delivery, assisted delivery
and caesarean section as
necessitated.
➢ Aftercare for the mother together
with the newborn
➢ Midwifery, including episiotomy
",ante natal care delivery by ways of normal delivery assisted delivery and caesarean section as necessitated aftercare for the mother together with the newborn midwifery including episiotomy care and nursing care operating recovery maternity ward and other treatment room charges including meals and special diets immunisation for the newborn vitamin k for newborn chlorhexidine administration provision of warmth and newborn resuscitation,MATERNITY,11200.0,unspecified,included,Level 2-3,"[2, 3]",,pre_authorization_required,{},2,"➢ Ante-natal care, delivery by ways of normal delivery, assisted delivery and caesarean section as necessitated. ➢ Aftercare for the mother together with the newborn ➢ Midwifery, including episioto...","➢ Ante-natal care, delivery by ways of
normal delivery, assisted delivery
and caesarean section as
necessitated.
➢ Aftercare for the mother together
with the newborn
➢ Midwifery, including episiotomy
care and nursing care.
➢ Operating, recovery, maternity
ward and other treatment room
charges including meals and special
diets.
➢ Immunisation for the newborn.
➢ Vitamin K for newborn,
chlorhexidine administration.
➢ Provision of warmth and newborn
resuscitation Level 2-3 ➢ Normal Delivery – KES.
1",enhanced_table_0_row_3,HIGH,
➢ Intra-admission and post- effect. All claims in this category will,intra admission and post effect all claims in this category will,OTHER,,,included,,[],,,{},3,➢ Intra-admission and post- effect. All claims in this category will,➢ Intra-admission and post- effect. All claims in this category will,enhanced_text,LOW,False
discharge medication. have to undergo surveillance.,discharge medication have to undergo surveillance,OTHER,,,included,,[],,,{},3,discharge medication. have to undergo surveillance.,discharge medication. have to undergo surveillance.,enhanced_text,LOW,False
➢ Diagnostic laboratory tests ➢ ANC and PNC services will be,diagnostic laboratory tests anc and pnc services will be,OTHER,,,included,,[],,,{},3,➢ Diagnostic laboratory tests ➢ ANC and PNC services will be,➢ Diagnostic laboratory tests ➢ ANC and PNC services will be,enhanced_text,LOW,False
➢ Administration of blood and blood covered under the outpatient at the,administration of blood and blood covered under the outpatient at the,OUTPATIENT,,,included,,[],,,{},3,➢ Administration of blood and blood covered under the outpatient at the,➢ Administration of blood and blood covered under the outpatient at the,enhanced_text,LOW,False
products; derivatives and PHC level.,products derivatives and phc level,OTHER,,,included,,[],,,{},3,products; derivatives and PHC level.,products; derivatives and PHC level.,enhanced_text,LOW,False
"components, artificial blood ➢ Management of complications for the",components artificial blood management of complications for the,OTHER,,,included,,[],,,{},3,"components, artificial blood ➢ Management of complications for the","components, artificial blood ➢ Management of complications for the",enhanced_text,LOW,False
"products, and biological serum newborn will be charged separately",products and biological serum newborn will be charged separately,OTHER,,,included,,[],,,{},3,"products, and biological serum newborn will be charged separately","products, and biological serum newborn will be charged separately",enhanced_text,LOW,False
"➢ Postnatal family planning. prematurity, necrotising enterocolitis,",postnatal family planning prematurity necrotising enterocolitis,MATERNITY,,,included,,[],,,{},3,"➢ Postnatal family planning. prematurity, necrotising enterocolitis,","➢ Postnatal family planning. prematurity, necrotising enterocolitis,",enhanced_text,LOW,False
➢ Management of postpartum at daily rebate rates for inpatient,management of postpartum at daily rebate rates for inpatient,OTHER,,,included,,[],,,{},3,➢ Management of postpartum at daily rebate rates for inpatient,➢ Management of postpartum at daily rebate rates for inpatient,enhanced_text,LOW,False
"infections and haemorrhage, birth services.",infections and haemorrhage birth services,OTHER,,,included,,[],,,{},3,"infections and haemorrhage, birth services.","infections and haemorrhage, birth services.",enhanced_text,LOW,False
➢ Management of neonatal,management of neonatal,OTHER,,,included,,[],,,{},3,➢ Management of neonatal,➢ Management of neonatal,enhanced_text,LOW,False
"infections and haemorrhage, birth",infections and haemorrhage birth,OTHER,,,included,,[],,,{},3,"infections and haemorrhage, birth","infections and haemorrhage, birth",enhanced_text,LOW,False
SCREENING & MANAGEMENT OF PRE-CANCEROUS LESIONS,screening management of pre cancerous lesions,ONCOLOGY,,,included,,[],,,{},3,SCREENING & MANAGEMENT OF PRE-CANCEROUS LESIONS,SCREENING & MANAGEMENT OF PRE-CANCEROUS LESIONS,enhanced_text,LOW,False
➢ Prostate cancer screening will only be,prostate cancer screening will only be,ONCOLOGY,,,included,,[],,,{},3,➢ Prostate cancer screening will only be,➢ Prostate cancer screening will only be,enhanced_text,LOW,False
"Screening for common cancers (breast, covered in males over 55 years.",screening for common cancers breast covered in males over 55 years,ONCOLOGY,,,included,,[],,,{},3,"Screening for common cancers (breast, covered in males over 55 years.","Screening for common cancers (breast, covered in males over 55 years.",enhanced_text,LOW,False
Level 2-6 with capacity ➢ Stool for occult blood –,level 2 6 with capacity stool for occult blood,OTHER,,,included,Level 2-6,"[2, 3, 4, 5, 6]",,,{},3,Level 2-6 with capacity ➢ Stool for occult blood –,Level 2-6 with capacity ➢ Stool for occult blood –,enhanced_text,LOW,False
"cervix, prostate, and colon) ➢ Colon cancer screening will only be",cervix prostate and colon colon cancer screening will only be,ONCOLOGY,,,included,,[],,,{},3,"cervix, prostate, and colon) ➢ Colon cancer screening will only be","cervix, prostate, and colon) ➢ Colon cancer screening will only be",enhanced_text,LOW,False
"➢ Cryotherapy – KES. 3,000",cryotherapy kes 3 000,OTHER,3000.0,unspecified,included,,[],,,{},3,"➢ Cryotherapy – KES. 3,000","➢ Cryotherapy – KES. 3,000",enhanced_text,HIGH,False
"➢ Intra-admission and post-
discharge medication.
➢ Diagnostic laboratory tests
➢ Administration of blood and blood
products; derivatives and
components, artificial blood
products, and biological seru",intra admission and post discharge medication diagnostic laboratory tests administration of blood and blood products derivatives and components artificial blood products and biological serum medical supplies and equipment including oxygen postnatal family planning management of postpartum infections and haemorrhage birth traumas and conditions related to childbirth management of neonatal conditions obstetric and neonatal complications including intra admission postpartum postnatal infections and haemorrhage birth traumas and conditions related to childbirth anti d serum for rhesus negative mothers,MATERNITY,,,included,,[],,,{},3,"➢ Intra-admission and post- discharge medication. ➢ Diagnostic laboratory tests ➢ Administration of blood and blood products; derivatives and components, artificial blood products, and biological s...","➢ Intra-admission and post-
discharge medication.
➢ Diagnostic laboratory tests
➢ Administration of blood and blood
products; derivatives and
components, artificial blood
products, and biological serum
➢ Medical supplies and equipment,
including oxygen.
➢ Postnatal family planning.
➢ Management of postpartum
infections and haemorrhage, birth
traumas and conditions related to
childbirth.
➢ Management of neonatal
conditions.
➢ Obstetric and neonatal
complications including intra-
admission postpar",enhanced_table_0_row_0,MEDIUM,
"Screening for common cancers (breast,
cervix, prostate, and colon)",screening for common cancers breast cervix prostate and colon,ONCOLOGY,3600.0,unspecified,included,Level 2-6,"[2, 3, 4, 5, 6]",,,{},3,"Screening for common cancers (breast, cervix, prostate, and colon) Level 2-6 with capacity ➢ HPV – KES. 3,600 ➢ PSA – KES. 1,500 ➢ Stool for occult blood – KES. 400 ➢ Cryotherapy – KES. 3,000 ➢ Pro...","Screening for common cancers (breast,
cervix, prostate, and colon) Level 2-6 with capacity ➢ HPV – KES. 3,600
➢ PSA – KES. 1,500
➢ Stool for occult blood –
KES. 400
➢ Cryotherapy – KES. 3,000 ➢ Prostate cancer screening will only be
covered in males over 55 years.
➢ Colon cancer screening will only be
covered in males over 40 years.",enhanced_table_0_row_3,HIGH,
➢ Thermal Ablation – KES. ➢ Screening for cervical cancer will only,thermal ablation kes screening for cervical cancer will only,ONCOLOGY,,,included,,[],,,{},4,➢ Thermal Ablation – KES. ➢ Screening for cervical cancer will only,➢ Thermal Ablation – KES. ➢ Screening for cervical cancer will only,enhanced_text,LOW,False
➢ HPV screening for females aged 35,hpv screening for females aged 35,OTHER,,,included,,[],,,{},4,➢ HPV screening for females aged 35,➢ HPV screening for females aged 35,enhanced_text,LOW,False
OPTICAL HEALTH SERVICES,optical health services,OTHER,,,included,,[],,,{},4,OPTICAL HEALTH SERVICES,OPTICAL HEALTH SERVICES,enhanced_text,LOW,False
Services covered include consultation,services covered include consultation,OUTPATIENT,,,included,,[],,,{},4,Services covered include consultation,Services covered include consultation,enhanced_text,LOW,False
"and diagnosis, preventive, restorative,",and diagnosis preventive restorative,OTHER,,,included,,[],,,{},4,"and diagnosis, preventive, restorative,","and diagnosis, preventive, restorative,",enhanced_text,LOW,False
and treatment services as necessary:,and treatment services as necessary,OTHER,,,included,,[],,,{},4,and treatment services as necessary:,and treatment services as necessary:,enhanced_text,LOW,False
➢ Pre-authorized service.,pre authorized service,OTHER,,,included,,[],,,{},4,➢ Pre-authorized service.,➢ Pre-authorized service.,enhanced_text,LOW,False
➢ Eye health education and,eye health education and,OTHER,,,included,,[],,,{},4,➢ Eye health education and,➢ Eye health education and,enhanced_text,LOW,False
KES. 935 for Consultation and ➢ Limited to beneficiaries below 18,kes 935 for consultation and limited to beneficiaries below 18,OUTPATIENT,935.0,unspecified,included,,[],,,{},4,KES. 935 for Consultation and ➢ Limited to beneficiaries below 18,KES. 935 for Consultation and ➢ Limited to beneficiaries below 18,enhanced_text,HIGH,False
counselling.,counselling,OTHER,,,included,,[],,,{},4,counselling.,counselling.,enhanced_text,LOW,False
Level 2-3 dispensing of eyeglasses. years.,level 2 3 dispensing of eyeglasses years,OTHER,,,included,Level 2-3,"[2, 3]",,,{},4,Level 2-3 dispensing of eyeglasses. years.,Level 2-3 dispensing of eyeglasses. years.,enhanced_text,LOW,False
"➢ Eye tests including fundoscopy,",eye tests including fundoscopy,OTHER,,,included,,[],,,{},4,"➢ Eye tests including fundoscopy,","➢ Eye tests including fundoscopy,",enhanced_text,LOW,False
"visual acuity testing, visual field",visual acuity testing visual field,OTHER,,,included,,[],,,{},4,"visual acuity testing, visual field","visual acuity testing, visual field",enhanced_text,LOW,False
➢ Treatment of refractive errors,treatment of refractive errors,OTHER,,,included,,[],,,{},4,➢ Treatment of refractive errors,➢ Treatment of refractive errors,enhanced_text,LOW,False
END OF LIFE SERVICES,end of life services,OTHER,,,included,,[],,,{},4,END OF LIFE SERVICES,END OF LIFE SERVICES,enhanced_text,LOW,False
Where available ➢ PPM: Per Diem ➢ Limit up to 5 days,where available ppm per diem limit up to 5 days,OTHER,,,included,,[],,,{'max_days': 5},4,Where available ➢ PPM: Per Diem ➢ Limit up to 5 days,Where available ➢ PPM: Per Diem ➢ Limit up to 5 days,enhanced_text,LOW,False
MEDICAL INPATIENT SERVICES,medical inpatient services,OTHER,,,included,,[],,,{},4,MEDICAL INPATIENT SERVICES,MEDICAL INPATIENT SERVICES,enhanced_text,LOW,False
Inpatient services shall include,inpatient services shall include,OTHER,,,included,,[],,,{},4,Inpatient services shall include,Inpatient services shall include,enhanced_text,LOW,False
management of disease/condition,management of disease condition,OTHER,,,included,,[],,,{},4,management of disease/condition,management of disease/condition,enhanced_text,LOW,False
meals and nursing care in a,meals and nursing care in a,OTHER,,,included,,[],,,{},4,meals and nursing care in a,meals and nursing care in a,enhanced_text,LOW,False
"➢ Thermal Ablation – KES.
3,000
➢ LEEP – KES. 2,800",thermal ablation kes 3 000 leep kes 2 800,ONCOLOGY,3000.0,unspecified,included,,[],,,{},4,"➢ Thermal Ablation – KES. 3,000 ➢ LEEP – KES. 2,800 ➢ Screening for cervical cancer will only be covered in women between 30-50 years ➢ HPV screening for females aged 35 and 45 years.","➢ Thermal Ablation – KES.
3,000
➢ LEEP – KES. 2,800 ➢ Screening for cervical cancer will only
be covered in women between 30-50
years
➢ HPV screening for females aged 35
and 45 years.",enhanced_table_0_row_0,HIGH,
"Services covered include consultation
and diagnosis, preventive, restorative,
and treatment services as necessary:
➢ Eye health education and
counselling.
➢ Eye tests including fundoscopy,
visual acui",services covered include consultation and diagnosis preventive restorative and treatment services as necessary eye health education and counselling eye tests including fundoscopy visual acuity testing visual field analysis treatment of refractive errors through eyeglasses,OUTPATIENT,935.0,per_household,included,Level 2-3,"[2, 3]",,,{},4,"Services covered include consultation and diagnosis, preventive, restorative, and treatment services as necessary: ➢ Eye health education and counselling. ➢ Eye tests including fundoscopy, visual a...","Services covered include consultation
and diagnosis, preventive, restorative,
and treatment services as necessary:
➢ Eye health education and
counselling.
➢ Eye tests including fundoscopy,
visual acuity testing, visual field
analysis.
➢ Treatment of refractive errors
through eyeglasses. Level 2-3 KES. 935 for Consultation and
dispensing of eyeglasses. ➢ Limit: KES. 1,000 per Household
➢ Pre-authorized service.
➢ Limited to beneficiaries below 18
years.
➢ Replacement of eyeglasses only after
ever",enhanced_table_0_row_3,HIGH,
"➢ Preparation and storage of the
body in a mortuary
➢ Preservation and storage of the
body in a mortuary.",preparation and storage of the body in a mortuary preservation and storage of the body in a mortuary,OTHER,500.0,per_day,included,,[],,,{'max_days': 5},4,➢ Preparation and storage of the body in a mortuary ➢ Preservation and storage of the body in a mortuary. Where available ➢ KES 500 per day ➢ PPM: Per Diem ➢ Limit up to 5 days,"➢ Preparation and storage of the
body in a mortuary
➢ Preservation and storage of the
body in a mortuary. Where available ➢ KES 500 per day
➢ PPM: Per Diem ➢ Limit up to 5 days",enhanced_table_0_row_6,HIGH,
"Inpatient services shall include
management of disease/condition
while admitted.
➢ Pre-admission evaluation.
➢ Hospital accommodation charges,
meals and nursing care in a
general ward bed.",inpatient services shall include management of disease condition while admitted pre admission evaluation hospital accommodation charges meals and nursing care in a general ward bed,OTHER,2400.0,unspecified,included,Level 3,[3],,,{'max_days': 50},4,"Inpatient services shall include management of disease/condition while admitted. ➢ Pre-admission evaluation. ➢ Hospital accommodation charges, meals and nursing care in a general ward bed. Level 3 ...","Inpatient services shall include
management of disease/condition
while admitted.
➢ Pre-admission evaluation.
➢ Hospital accommodation charges,
meals and nursing care in a
general ward bed. Level 3 PPM: Per-Diem
Level 3 - KES. 2,400 ➢ Admission up to 50 days",enhanced_table_0_row_9,HIGH,
➢ Intra-admission consultation and,intra admission consultation and,OUTPATIENT,,,included,,[],,,{},5,➢ Intra-admission consultation and,➢ Intra-admission consultation and,enhanced_text,LOW,False
"specialist consultants, Laboratory",specialist consultants laboratory,OTHER,,,included,,[],,,{},5,"specialist consultants, Laboratory","specialist consultants, Laboratory",enhanced_text,LOW,False
"investigations, medical imaging,",investigations medical imaging,IMAGING,,,included,,[],,,{},5,"investigations, medical imaging,","investigations, medical imaging,",enhanced_text,LOW,False
"procedures, and medication.",procedures and medication,SURGERY,,,included,,[],,,{},5,"procedures, and medication.","procedures, and medication.",enhanced_text,LOW,False
➢ Bedside services including,bedside services including,OTHER,,,included,,[],,,{},5,➢ Bedside services including,➢ Bedside services including,enhanced_text,LOW,False
"physiotherapy, occupational",physiotherapy occupational,STROKE,,,included,,[],,,{},5,"physiotherapy, occupational","physiotherapy, occupational",enhanced_text,LOW,False
"therapy, oxygen supply, medical",therapy oxygen supply medical,OTHER,,,included,,[],,,{},5,"therapy, oxygen supply, medical","therapy, oxygen supply, medical",enhanced_text,LOW,False
nutritional support.,nutritional support,OTHER,,,included,,[],,,{},5,nutritional support.,nutritional support.,enhanced_text,LOW,False
administration of blood and blood,administration of blood and blood,OTHER,,,included,,[],,,{},5,administration of blood and blood,administration of blood and blood,enhanced_text,LOW,False
products; derivatives and,products derivatives and,OTHER,,,included,,[],,,{},5,products; derivatives and,products; derivatives and,enhanced_text,LOW,False
"components, artificial blood",components artificial blood,OTHER,,,included,,[],,,{},5,"components, artificial blood","components, artificial blood",enhanced_text,LOW,False
"products, and biological serum.",products and biological serum,OTHER,,,included,,[],,,{},5,"products, and biological serum.","products, and biological serum.",enhanced_text,LOW,False
➢ Post-discharge medication or,post discharge medication or,OTHER,,,included,,[],,,{},5,➢ Post-discharge medication or,➢ Post-discharge medication or,enhanced_text,LOW,False
follow-up within the treatment,follow up within the treatment,OTHER,,,included,,[],,,{},5,follow-up within the treatment,follow-up within the treatment,enhanced_text,LOW,False
➢ PPM: Fee for Service –,ppm fee for service,OTHER,,,included,,[],,,{},5,➢ PPM: Fee for Service –,➢ PPM: Fee for Service –,enhanced_text,LOW,False
"➢ Consultation, diagnosis, and ➢ ARVs, antimalarials, anti TBs, and",consultation diagnosis and arvs antimalarials anti tbs and,OUTPATIENT,,,included,,[],,,{},5,"➢ Consultation, diagnosis, and ➢ ARVs, antimalarials, anti TBs, and","➢ Consultation, diagnosis, and ➢ ARVs, antimalarials, anti TBs, and",enhanced_text,LOW,False
"➢ ARVs, HIV testing and",arvs hiv testing and,OTHER,,,included,,[],,,{},5,"➢ ARVs, HIV testing and","➢ ARVs, HIV testing and",enhanced_text,LOW,False
"treatment. associated tests, family planning",treatment associated tests family planning,OTHER,,,included,,[],,,{},5,"treatment. associated tests, family planning","treatment. associated tests, family planning",enhanced_text,LOW,False
"follow up tests, family",follow up tests family,OTHER,,,included,,[],,,{},5,"follow up tests, family","follow up tests, family",enhanced_text,LOW,False
"➢ Prescribed laboratory Level 4-6 commodities, KEPI vaccines will be",prescribed laboratory level 4 6 commodities kepi vaccines will be,OTHER,,,included,Level 4-6,"[4, 5, 6]",,,{},5,"➢ Prescribed laboratory Level 4-6 commodities, KEPI vaccines will be","➢ Prescribed laboratory Level 4-6 commodities, KEPI vaccines will be",enhanced_text,LOW,False
"investigations. provided at public facilities, and faith",investigations provided at public facilities and faith,OTHER,,,included,,[],,,{},5,"investigations. provided at public facilities, and faith","investigations. provided at public facilities, and faith",enhanced_text,LOW,False
malarial medication and,malarial medication and,OTHER,,,included,,[],,,{},5,malarial medication and,malarial medication and,enhanced_text,LOW,False
"testing, anti TBs and",testing anti tbs and,OTHER,,,included,,[],,,{},5,"testing, anti TBs and","testing, anti TBs and",enhanced_text,LOW,False
